entry_time,exit_time,direction,entry_price,exit_price,pnl_brl
2022.09.01 11:15:00,2022.09.01 15:30:00,long,5253.500,5268.000,134.00
2022.09.15 09:15:00,2022.09.15 09:50:00,long,5209.500,5209.500,-11.00
2022.09.27 11:00:00,2022.09.27 11:35:00,long,5361.500,5358.000,-46.00
2022.10.21 10:40:00,2022.10.21 11:30:00,short,5228.000,5217.000,99.00
2022.11.03 10:45:00,2022.11.03 14:50:00,short,5173.000,5139.000,329.00
2022.11.07 10:40:00,2022.11.07 11:30:00,short,5090.500,5102.500,-131.00
2022.11.07 11:40:00,2022.11.07 17:30:00,long,5108.500,5184.500,749.00
2022.11.30 12:00:00,2022.11.30 17:30:00,short,5310.500,5221.000,884.00
2022.12.08 10:25:00,2022.12.08 12:45:00,short,5236.500,5237.000,-16.00
2022.12.20 10:25:00,2022.12.20 14:00:00,short,5297.500,5211.000,854.00
2022.12.22 11:10:00,2022.12.22 14:40:00,short,5201.000,5184.000,159.00
2022.12.29 10:00:00,2022.12.29 11:45:00,short,5241.500,5251.000,-106.00
2023.01.02 14:35:00,2023.01.02 17:10:00,long,5378.000,5395.000,159.00
2023.01.05 11:35:00,2023.01.05 17:30:00,short,5421.000,5384.000,359.00
2023.01.11 10:20:00,2023.01.11 10:40:00,short,5223.500,5229.000,-66.00
2023.01.13 10:50:00,2023.01.13 13:40:00,short,5126.000,5124.000,9.00
2023.01.20 09:30:00,2023.01.20 10:00:00,long,5209.500,5191.000,-196.00
2023.01.26 11:30:00,2023.01.26 12:45:00,short,5091.500,5087.000,34.00
2023.01.27 10:05:00,2023.01.27 11:10:00,short,5070.500,5082.000,-126.00
2023.02.07 10:35:00,2023.02.07 13:10:00,long,5189.500,5202.500,119.00
2023.02.09 09:35:00,2023.02.09 10:30:00,long,5230.000,5219.000,-121.00
2023.02.09 11:25:00,2023.02.09 13:40:00,long,5247.500,5272.500,239.00
2023.02.15 11:55:00,2023.02.15 13:40:00,long,5235.500,5225.500,-111.00
2023.03.06 11:50:00,2023.03.06 15:45:00,short,5229.500,5201.000,274.00
2023.04.06 11:50:00,2023.04.06 12:30:00,short,5078.500,5086.500,-91.00
2023.04.10 09:35:00,2023.04.10 11:45:00,long,5087.500,5095.000,64.00
2023.04.14 09:15:00,2023.04.14 09:35:00,short,4923.500,4936.000,-136.00
2023.04.25 10:00:00,2023.04.25 10:20:00,short,5039.000,5052.500,-146.00
2023.05.03 10:00:00,2023.05.03 10:25:00,long,5080.000,5066.000,-151.00
2023.05.12 10:00:00,2023.05.12 11:35:00,short,4950.500,4946.500,29.00
2023.05.15 11:45:00,2023.05.15 14:05:00,short,4931.500,4929.500,9.00
2023.05.19 10:00:00,2023.05.19 12:20:00,long,4983.500,4993.000,84.00
2023.05.19 14:50:00,2023.05.19 17:30:00,long,5001.000,5007.000,49.00
2023.05.23 10:35:00,2023.05.23 10:55:00,short,4978.000,4989.500,-126.00
2023.06.06 11:25:00,2023.06.06 14:25:00,short,4950.000,4934.500,144.00
2023.06.15 10:30:00,2023.06.15 13:35:00,short,4829.000,4828.000,-1.00
2023.06.16 11:20:00,2023.06.16 12:00:00,short,4832.500,4838.500,-71.00
2023.06.27 10:40:00,2023.06.27 15:55:00,long,4776.000,4797.500,204.00
2023.07.18 09:40:00,2023.07.18 09:55:00,long,4833.000,4824.500,-96.00
2023.08.18 10:55:00,2023.08.18 14:25:00,short,4988.500,4982.500,49.00
2023.08.29 09:20:00,2023.08.29 09:55:00,long,4895.000,4889.500,-66.00
2023.09.01 11:35:00,2023.09.01 14:05:00,long,4952.500,4957.500,39.00
2023.09.05 14:30:00,2023.09.05 15:30:00,long,4991.000,4989.000,-31.00
2023.09.26 10:25:00,2023.09.26 10:45:00,long,4972.000,4965.000,-81.00
2023.10.04 10:40:00,2023.10.04 12:10:00,long,5169.500,5172.000,14.00
2023.10.17 11:20:00,2023.10.17 14:15:00,short,5052.500,5033.500,179.00
2023.10.30 11:30:00,2023.10.30 12:05:00,long,5004.000,4999.500,-56.00
2023.11.08 11:30:00,2023.11.08 12:05:00,short,4891.500,4894.000,-36.00
2023.11.17 09:35:00,2023.11.17 10:15:00,short,4869.000,4886.500,-186.00
2023.11.27 11:55:00,2023.11.27 13:30:00,long,4900.500,4911.000,94.00
2023.11.28 10:55:00,2023.11.28 11:35:00,long,4905.000,4893.500,-126.00
2023.11.28 11:45:00,2023.11.28 14:35:00,short,4894.000,4871.000,219.00
2023.11.29 12:00:00,2023.11.29 13:00:00,short,4882.500,4888.000,-66.00
2023.12.07 09:45:00,2023.12.07 11:05:00,short,4903.000,4902.500,-6.00
2023.12.08 10:05:00,2023.12.08 10:30:00,long,4919.000,4914.500,-56.00
2023.12.13 10:15:00,2023.12.13 10:55:00,long,4976.000,4965.000,-121.00
2023.12.27 14:15:00,2023.12.27 15:30:00,short,4819.000,4823.500,-56.00
2024.01.05 10:50:00,2024.01.05 13:45:00,short,4921.000,4892.000,279.00
2024.01.10 11:25:00,2024.01.10 13:00:00,long,4914.000,4903.000,-121.00
2024.01.23 11:45:00,2024.01.23 12:10:00,long,4984.500,4980.500,-51.00
2024.01.30 10:10:00,2024.01.30 11:25:00,long,4952.000,4958.500,54.00
2024.02.06 11:30:00,2024.02.06 11:40:00,long,4990.000,4981.000,-101.00
2024.02.16 09:15:00,2024.02.16 10:25:00,short,4976.000,4979.500,-46.00
2024.03.12 09:10:00,2024.03.12 09:55:00,short,4979.000,4977.500,4.00
2024.03.12 10:10:00,2024.03.12 11:05:00,long,4992.000,4985.000,-81.00
2024.03.12 11:30:00,2024.03.12 12:40:00,short,4977.500,4987.000,-106.00
2024.03.13 09:45:00,2024.03.13 11:25:00,long,4982.500,4984.500,9.00
2024.03.14 10:35:00,2024.03.14 11:35:00,long,4981.000,4975.500,-66.00
2024.03.18 10:50:00,2024.03.18 13:00:00,long,5007.000,5022.500,144.00
2024.03.20 09:30:00,2024.03.20 09:40:00,short,5019.000,5026.500,-86.00
2024.03.22 10:55:00,2024.03.22 12:20:00,short,4985.000,4989.500,-56.00
2024.03.25 09:10:00,2024.03.25 09:40:00,short,4991.000,4992.000,-21.00
2024.03.27 09:20:00,2024.03.27 11:15:00,long,4985.000,4985.500,-6.00
2024.04.02 11:55:00,2024.04.02 12:10:00,long,5072.000,5059.000,-141.00
2024.04.05 09:25:00,2024.04.05 09:35:00,short,5048.500,5059.500,-121.00
2024.04.12 14:25:00,2024.04.12 14:50:00,long,5145.500,5138.000,-86.00
