session_date,trades,pnl_brl,cumulative_pnl_brl,equity_brl
2021-04-01,1,55.0,55.0,10055.0
2021-04-05,3,-60.0,-5.0,9995.0
2021-04-06,1,35.0,30.0,10030.0
2021-04-07,2,110.0,140.0,10140.0
2021-04-08,5,240.0,380.0,10380.0
2021-04-09,2,90.0,470.0,10470.0
2021-04-12,1,45.0,515.0,10515.0
2021-04-13,1,60.0,575.0,10575.0
2021-04-16,2,90.0,665.0,10665.0
2021-04-19,2,-80.0,585.0,10585.0
2021-04-20,2,80.0,665.0,10665.0
2021-04-22,1,45.0,710.0,10710.0
2021-04-23,3,155.0,865.0,10865.0
2021-04-26,2,75.0,940.0,10940.0
2021-04-27,3,-200.0,740.0,10740.0
2021-04-29,1,45.0,785.0,10785.0
2021-04-30,1,45.0,830.0,10830.0
2021-05-03,2,90.0,920.0,10920.0
2021-05-04,5,25.0,945.0,10945.0
2021-05-06,3,135.0,1080.0,11080.0
2021-05-07,2,80.0,1160.0,11160.0
2021-05-10,2,-80.0,1080.0,11080.0
2021-05-11,2,80.0,1160.0,11160.0
2021-05-12,1,50.0,1210.0,11210.0
2021-05-13,1,45.0,1255.0,11255.0
2021-05-14,4,180.0,1435.0,11435.0
2021-05-17,3,-15.0,1420.0,11420.0
2021-05-18,2,-90.0,1330.0,11330.0
2021-05-19,1,35.0,1365.0,11365.0
2021-05-20,2,90.0,1455.0,11455.0
2021-05-21,3,85.0,1540.0,11540.0
2021-05-24,1,25.0,1565.0,11565.0
2021-05-25,2,50.0,1615.0,11615.0
2021-05-26,1,30.0,1645.0,11645.0
2021-05-27,1,25.0,1670.0,11670.0
2021-05-28,5,150.0,1820.0,11820.0
2021-05-31,3,-150.0,1670.0,11670.0
2021-06-01,1,30.0,1700.0,11700.0
2021-06-02,1,25.0,1725.0,11725.0
2021-06-04,1,35.0,1760.0,11760.0
2021-06-07,2,-195.0,1565.0,11565.0
2021-06-08,3,-35.0,1530.0,11530.0
2021-06-09,1,-75.0,1455.0,11455.0
2021-06-10,2,85.0,1540.0,11540.0
2021-06-11,1,40.0,1580.0,11580.0
2021-06-14,2,40.0,1620.0,11620.0
2021-06-15,1,30.0,1650.0,11650.0
2021-06-17,3,135.0,1785.0,11785.0
2021-06-18,4,-5.0,1780.0,11780.0
2021-06-21,2,70.0,1850.0,11850.0
2021-06-22,1,35.0,1885.0,11885.0
