session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2026-01-05,2026-01-05 12:28:00,2026-01-05 12:36:00,2026-01-05 12:42:00,short,5461.0,5456.0,5471.0,5456.0,5.0,39.0,limit_touch,take_profit
2026-01-06,2026-01-06 10:16:00,2026-01-06 10:29:00,2026-01-06 10:39:00,short,5428.0,5424.5,5435.5,5424.5,3.5,24.0,limit_touch,take_profit
2026-01-06,2026-01-06 11:51:00,2026-01-06 12:23:00,2026-01-06 12:49:00,short,5411.0,5406.5,5420.0,5406.5,4.5,34.0,limit_touch,take_profit
2026-01-08,2026-01-08 10:03:00,2026-01-08 10:03:00,2026-01-08 10:03:00,short,5412.0,5409.5,5417.5,5409.5,2.5,14.0,limit_touch,take_profit
2026-01-12,2026-01-12 10:01:00,2026-01-12 10:06:00,2026-01-12 10:11:00,long,5403.5,5395.0,5395.0,5407.5,-8.5,-96.0,limit_touch,stop_loss
2026-01-13,2026-01-13 10:32:00,2026-01-13 10:32:00,2026-01-13 10:32:00,short,5395.5,5392.0,5402.5,5392.0,3.5,24.0,limit_touch,take_profit
2026-01-13,2026-01-13 11:34:00,2026-01-13 11:40:00,2026-01-13 11:49:00,short,5394.0,5401.0,5401.0,5390.5,-7.0,-81.0,limit_touch,stop_loss
2026-01-14,2026-01-14 11:08:00,2026-01-14 11:19:00,2026-01-14 11:19:00,long,5406.5,5411.0,5397.0,5411.0,4.5,34.0,limit_touch,take_profit
2026-01-15,2026-01-15 10:27:00,2026-01-15 10:27:00,2026-01-15 10:32:00,long,5410.5,5414.5,5402.0,5414.5,4.0,29.0,limit_touch,take_profit
2026-01-19,2026-01-19 10:12:00,2026-01-19 10:15:00,2026-01-19 10:39:00,short,5381.5,5378.5,5388.0,5378.5,3.0,19.0,limit_touch,take_profit
2026-01-20,2026-01-20 10:34:00,2026-01-20 10:34:00,2026-01-20 10:34:00,long,5413.5,5417.0,5405.5,5417.0,3.5,24.0,limit_touch,take_profit
2026-01-22,2026-01-22 12:29:00,2026-01-22 12:34:00,2026-01-22 12:42:00,short,5319.0,5315.5,5326.5,5315.5,3.5,24.0,limit_touch,take_profit
2026-01-26,2026-01-26 12:00:00,2026-01-26 12:14:00,2026-01-26 12:36:00,short,5280.0,5276.5,5287.5,5276.5,3.5,24.0,limit_touch,take_profit
2026-01-27,2026-01-27 11:03:00,2026-01-27 11:19:00,2026-01-27 11:25:00,short,5257.5,5254.0,5264.5,5254.0,3.5,24.0,limit_touch,take_profit
2026-01-28,2026-01-28 12:09:00,2026-01-28 12:10:00,2026-01-28 12:18:00,long,5200.0,5206.0,5188.0,5206.0,6.0,49.0,limit_touch,take_profit
2026-01-29,2026-01-29 11:44:00,2026-01-29 11:51:00,2026-01-29 11:56:00,short,5177.0,5186.5,5186.5,5172.5,-9.5,-106.0,limit_touch,stop_loss
2026-02-03,2026-02-03 10:05:00,2026-02-03 10:21:00,2026-02-03 10:40:00,short,5258.5,5254.5,5267.0,5254.5,4.0,29.0,limit_touch,take_profit
2026-02-03,2026-02-03 11:36:00,2026-02-03 11:47:00,2026-02-03 11:57:00,short,5246.0,5255.0,5255.0,5241.5,-9.0,-101.0,limit_touch,stop_loss
2026-02-05,2026-02-05 11:24:00,2026-02-05 11:32:00,2026-02-05 11:38:00,short,5273.5,5269.0,5283.0,5269.0,4.5,34.0,limit_touch,take_profit
2026-02-09,2026-02-09 10:08:00,2026-02-09 10:15:00,2026-02-09 10:24:00,short,5217.5,5213.0,5226.5,5213.0,4.5,34.0,limit_touch,take_profit
2026-02-09,2026-02-09 11:45:00,2026-02-09 11:50:00,2026-02-09 11:57:00,short,5214.5,5210.0,5223.5,5210.0,4.5,34.0,limit_touch,take_profit
2026-02-10,2026-02-10 10:11:00,2026-02-10 10:14:00,2026-02-10 10:25:00,long,5223.5,5227.0,5216.5,5227.0,3.5,24.0,limit_touch,take_profit
2026-02-10,2026-02-10 11:34:00,2026-02-10 11:35:00,2026-02-10 11:43:00,short,5208.5,5216.0,5216.0,5205.0,-7.5,-86.0,limit_touch,stop_loss
2026-02-11,2026-02-11 10:10:00,2026-02-11 10:11:00,2026-02-11 10:30:00,long,5205.0,5208.0,5198.0,5208.0,3.0,19.0,limit_touch,take_profit
2026-02-12,2026-02-12 10:38:00,2026-02-12 10:41:00,2026-02-12 10:58:00,short,5188.0,5184.5,5195.0,5184.5,3.5,24.0,limit_touch,take_profit
2026-02-12,2026-02-12 11:47:00,2026-02-12 12:10:00,2026-02-12 12:15:00,short,5180.0,5176.5,5187.5,5176.5,3.5,24.0,limit_touch,take_profit
2026-02-19,2026-02-19 10:40:00,2026-02-19 11:13:00,2026-02-19 11:16:00,short,5237.0,5232.5,5247.0,5232.5,4.5,34.0,limit_touch,take_profit
2026-02-23,2026-02-23 10:51:00,2026-02-23 10:57:00,2026-02-23 11:00:00,short,5176.5,5173.0,5183.5,5173.0,3.5,24.0,limit_touch,take_profit
2026-02-24,2026-02-24 12:06:00,2026-02-24 12:09:00,2026-02-24 12:14:00,short,5173.5,5169.5,5181.5,5169.5,4.0,29.0,limit_touch,take_profit
2026-02-25,2026-02-25 11:01:00,2026-02-25 11:17:00,2026-02-25 11:43:00,long,5149.5,5154.0,5140.0,5154.0,4.5,34.0,limit_touch,take_profit
2026-02-25,2026-02-25 12:35:00,2026-02-25 12:53:00,2026-02-25 13:00:00,long,5158.5,5149.0,5149.0,5163.0,-9.5,-106.0,limit_touch,stop_loss
