session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-04-01,2021-04-01 10:00:00,2021-04-01 11:00:00,2021-04-01 13:00:00,long,5692.0,5705.0,5655.5,5705.0,13.0,130.0,h1_proxy_limit,take_profit
2021-04-05,2021-04-05 10:00:00,2021-04-05 11:00:00,2021-04-05 14:00:00,short,5657.0,5685.0,5685.0,5647.0,-28.0,-280.0,h1_proxy_limit,stop_loss
2021-04-08,2021-04-08 10:00:00,2021-04-08 11:00:00,2021-04-08 12:00:00,short,5589.5,5579.5,5617.5,5579.5,10.0,100.0,h1_proxy_limit,take_profit
2021-04-09,2021-04-09 10:00:00,2021-04-09 11:00:00,2021-04-09 12:00:00,long,5640.5,5650.5,5612.0,5650.5,10.0,100.0,h1_proxy_limit,take_profit
2021-04-16,2021-04-16 10:00:00,2021-04-16 11:00:00,2021-04-16 12:00:00,long,5667.0,5642.5,5642.5,5676.0,-24.5,-245.0,h1_proxy_limit,stop_loss
2021-04-19,2021-04-19 10:00:00,2021-04-19 11:00:00,2021-04-19 12:00:00,long,5610.5,5584.5,5584.5,5620.0,-26.0,-260.0,h1_proxy_limit,stop_loss
2021-04-20,2021-04-20 11:00:00,2021-04-20 12:00:00,2021-04-20 13:00:00,short,5528.0,5518.5,5554.0,5518.5,9.5,95.0,h1_proxy_limit,take_profit
2021-04-22,2021-04-22 11:00:00,2021-04-22 12:00:00,2021-04-22 13:00:00,short,5502.5,5492.5,5530.5,5492.5,10.0,100.0,h1_proxy_limit,take_profit
2021-04-26,2021-04-26 11:00:00,2021-04-26 12:00:00,2021-04-26 14:00:00,short,5453.5,5445.5,5476.5,5445.5,8.0,80.0,h1_proxy_limit,take_profit
2021-05-03,2021-05-03 11:00:00,2021-05-03 12:00:00,2021-05-03 13:00:00,short,5422.5,5413.0,5449.5,5413.0,9.5,95.0,h1_proxy_limit,take_profit
2021-05-04,2021-05-04 10:00:00,2021-05-04 11:00:00,2021-05-04 13:00:00,short,5457.5,5447.5,5485.5,5447.5,10.0,100.0,h1_proxy_limit,take_profit
2021-05-10,2021-05-10 10:00:00,2021-05-10 11:00:00,2021-05-10 12:00:00,short,5233.0,5226.5,5251.5,5226.5,6.5,65.0,h1_proxy_limit,take_profit
2021-05-13,2021-05-13 10:00:00,2021-05-13 11:00:00,2021-05-13 12:00:00,short,5280.0,5309.5,5309.5,5269.5,-29.5,-295.0,h1_proxy_limit,stop_loss
2021-05-14,2021-05-14 10:00:00,2021-05-14 11:00:00,2021-05-14 12:00:00,short,5273.5,5263.0,5302.5,5263.0,10.5,105.0,h1_proxy_limit,take_profit
2021-05-17,2021-05-17 10:00:00,2021-05-17 11:00:00,2021-05-17 12:00:00,long,5318.5,5296.0,5296.0,5326.5,-22.5,-225.0,h1_proxy_limit,stop_loss
2021-05-18,2021-05-18 10:00:00,2021-05-18 11:00:00,2021-05-18 12:00:00,long,5274.5,5254.5,5254.5,5281.5,-20.0,-200.0,h1_proxy_limit,stop_loss
2021-05-19,2021-05-19 11:00:00,2021-05-19 12:00:00,2021-05-19 13:00:00,long,5302.5,5281.5,5281.5,5310.0,-21.0,-210.0,h1_proxy_limit,stop_loss
2021-05-21,2021-05-21 10:00:00,2021-05-21 11:00:00,2021-05-21 12:00:00,short,5285.0,5301.0,5301.0,5279.5,-16.0,-160.0,h1_proxy_limit,stop_loss
2021-05-31,2021-05-31 10:00:00,2021-05-31 11:00:00,2021-05-31 12:00:00,short,5222.5,5238.5,5238.5,5216.5,-16.0,-160.0,h1_proxy_limit,stop_loss
2021-06-01,2021-06-01 10:00:00,2021-06-01 11:00:00,2021-06-01 12:00:00,short,5175.5,5168.0,5196.0,5168.0,7.5,75.0,h1_proxy_limit,take_profit
2021-06-04,2021-06-04 10:00:00,2021-06-04 11:00:00,2021-06-04 12:00:00,short,5080.5,5101.5,5101.5,5073.0,-21.0,-210.0,h1_proxy_limit,stop_loss
2021-06-07,2021-06-07 10:00:00,2021-06-07 11:00:00,2021-06-07 12:00:00,long,5069.5,5050.0,5050.0,5076.5,-19.5,-195.0,h1_proxy_limit,stop_loss
2021-06-08,2021-06-08 10:00:00,2021-06-08 11:00:00,2021-06-08 12:00:00,long,5070.0,5052.0,5052.0,5076.5,-18.0,-180.0,h1_proxy_limit,stop_loss
2021-06-09,2021-06-09 10:00:00,2021-06-09 11:00:00,2021-06-09 12:00:00,long,5054.0,5059.5,5038.0,5059.5,5.5,55.0,h1_proxy_limit,take_profit
2021-06-17,2021-06-17 10:00:00,2021-06-17 11:00:00,2021-06-17 12:00:00,short,5041.0,5031.5,5068.0,5031.5,9.5,95.0,h1_proxy_limit,take_profit
2021-06-18,2021-06-18 10:00:00,2021-06-18 11:00:00,2021-06-18 12:00:00,short,4999.5,5022.0,5022.0,4991.5,-22.5,-225.0,h1_proxy_limit,stop_loss
2021-06-21,2021-06-21 10:00:00,2021-06-21 11:00:00,2021-06-21 12:00:00,short,5052.5,5043.5,5077.5,5043.5,9.0,90.0,h1_proxy_limit,take_profit
2021-06-28,2021-06-28 10:00:00,2021-06-28 11:00:00,2021-06-28 12:00:00,short,4939.5,4959.5,4959.5,4932.5,-20.0,-200.0,h1_proxy_limit,stop_loss
2021-06-29,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-06-29 13:00:00,long,4962.0,4945.5,4945.5,4968.0,-16.5,-165.0,h1_proxy_limit,stop_loss
2021-06-30,2021-06-30 10:00:00,2021-06-30 11:00:00,2021-06-30 12:00:00,long,5012.5,5020.5,4990.0,5020.5,8.0,80.0,h1_proxy_limit,take_profit
2021-07-01,2021-07-01 10:00:00,2021-07-01 11:00:00,2021-07-01 12:00:00,short,4974.0,4996.5,4996.5,4966.0,-22.5,-225.0,h1_proxy_limit,stop_loss
2021-07-02,2021-07-02 10:00:00,2021-07-02 11:00:00,2021-07-02 12:00:00,short,5020.5,5048.0,5048.0,5010.5,-27.5,-275.0,h1_proxy_limit,stop_loss
2021-07-05,2021-07-05 11:00:00,2021-07-05 12:00:00,2021-07-05 14:00:00,long,5091.0,5097.5,5073.0,5097.5,6.5,65.0,h1_proxy_limit,take_profit
2021-07-08,2021-07-08 10:00:00,2021-07-08 11:00:00,2021-07-08 12:00:00,short,5280.5,5269.5,5311.0,5269.5,11.0,110.0,h1_proxy_limit,take_profit
2021-07-12,2021-07-12 10:00:00,2021-07-12 11:00:00,2021-07-12 12:00:00,short,5256.5,5248.5,5279.0,5248.5,8.0,80.0,h1_proxy_limit,take_profit
2021-07-13,2021-07-13 11:00:00,2021-07-13 12:00:00,2021-07-13 13:00:00,short,5183.5,5174.5,5209.0,5174.5,9.0,90.0,h1_proxy_limit,take_profit
2021-07-15,2021-07-15 10:00:00,2021-07-15 11:00:00,2021-07-15 12:00:00,long,5105.0,5113.5,5082.0,5113.5,8.5,85.0,h1_proxy_limit,take_profit
2021-07-16,2021-07-16 11:00:00,2021-07-16 12:00:00,2021-07-16 13:00:00,short,5097.0,5087.5,5123.5,5087.5,9.5,95.0,h1_proxy_limit,take_profit
2021-07-19,2021-07-19 10:00:00,2021-07-19 11:00:00,2021-07-19 12:00:00,long,5197.0,5207.5,5167.5,5207.5,10.5,105.0,h1_proxy_limit,take_profit
2021-07-20,2021-07-20 11:00:00,2021-07-20 12:00:00,2021-07-20 13:00:00,short,5253.0,5243.5,5280.0,5243.5,9.5,95.0,h1_proxy_limit,take_profit
2021-07-23,2021-07-23 10:00:00,2021-07-23 11:00:00,2021-07-23 12:00:00,short,5173.5,5166.5,5193.5,5166.5,7.0,70.0,h1_proxy_limit,take_profit
2021-07-26,2021-07-26 11:00:00,2021-07-26 12:00:00,2021-07-26 13:00:00,short,5183.5,5175.0,5208.0,5175.0,8.5,85.0,h1_proxy_limit,take_profit
2021-07-27,2021-07-27 10:00:00,2021-07-27 11:00:00,2021-07-27 12:00:00,short,5175.0,5167.5,5195.5,5167.5,7.5,75.0,h1_proxy_limit,take_profit
2021-08-02,2021-08-02 11:00:00,2021-08-02 12:00:00,2021-08-02 13:00:00,short,5161.0,5151.0,5189.0,5151.0,10.0,100.0,h1_proxy_limit,take_profit
2021-08-03,2021-08-03 11:00:00,2021-08-03 12:00:00,2021-08-03 14:00:00,long,5267.0,5233.5,5233.5,5279.0,-33.5,-335.0,h1_proxy_limit,stop_loss
2021-08-04,2021-08-04 11:00:00,2021-08-04 12:00:00,2021-08-04 13:00:00,long,5238.5,5250.0,5205.5,5250.0,11.5,115.0,h1_proxy_limit,take_profit
2021-08-05,2021-08-05 10:00:00,2021-08-05 11:00:00,2021-08-05 12:00:00,short,5142.5,5170.0,5170.0,5132.5,-27.5,-275.0,h1_proxy_limit,stop_loss
