name,family,config,params,all_start_date,all_end_date,all_trading_days,all_total_trades,all_win_rate,all_net_profit_brl,all_avg_profit_brl,all_avg_win_brl,all_avg_loss_brl,all_profit_factor,all_max_drawdown_pct,all_expected_payoff,all_on_tester_value,train_start_date,train_end_date,train_trading_days,train_total_trades,train_win_rate,train_net_profit_brl,train_avg_profit_brl,train_avg_win_brl,train_avg_loss_brl,train_profit_factor,train_max_drawdown_pct,train_expected_payoff,train_on_tester_value,test_start_date,test_end_date,test_trading_days,test_total_trades,test_win_rate,test_net_profit_brl,test_avg_profit_brl,test_avg_win_brl,test_avg_loss_brl,test_profit_factor,test_max_drawdown_pct,test_expected_payoff,test_on_tester_value
baseline,baseline,"{""family"": ""baseline"", ""name"": ""baseline"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.0, ""trend_mode"": ""off"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": false, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.0, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2679,0.7238,14115.0,5.27,40.56,-87.2,1.2187,8.95,5.27,1576.602727,2021-03-23,2024-09-16,872,1875,0.7237,10350.0,5.52,42.32,-90.9,1.2198,8.95,5.52,1156.063636,2024-09-17,2026-03-20,375,804,0.7239,3765.0,4.68,36.44,-78.58,1.2158,8.13,4.68,463.304167
trend__long__w15__ge_0.250000,trend,"{""family"": ""trend"", ""name"": ""trend__long__w15__ge_0.250000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.25, ""trend_mode"": ""long"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.25, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2492,0.7235,13195.0,5.29,40.73,-87.45,1.219,8.09,5.29,1630.32588,2021-03-23,2024-09-16,872,1742,0.7245,9680.0,5.56,42.45,-91.44,1.2206,8.09,5.56,1196.025352,2024-09-17,2026-03-20,375,750,0.7213,3515.0,4.69,36.74,-78.28,1.2149,6.71,4.69,523.525497
trend__long__w15__ge_0.333333,trend,"{""family"": ""trend"", ""name"": ""trend__long__w15__ge_0.333333"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.333333, ""trend_mode"": ""long"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.333333, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2386,0.7267,13775.0,5.77,40.93,-87.74,1.2408,8.53,5.77,1614.24322,2021-03-23,2024-09-16,872,1662,0.7244,9410.0,5.66,42.72,-91.76,1.2239,8.53,5.66,1102.724407,2024-09-17,2026-03-20,375,724,0.732,4365.0,6.03,36.88,-78.25,1.2875,5.84,6.03,747.405828
trend__long__w15__ge_0.400000,trend,"{""family"": ""trend"", ""name"": ""trend__long__w15__ge_0.400000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.4, ""trend_mode"": ""long"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.4, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2227,0.7247,12855.0,5.77,41.24,-87.62,1.2393,5.5,5.77,2336.923881,2021-03-23,2024-09-16,872,1553,0.7289,10005.0,6.44,42.95,-91.73,1.2591,5.5,6.44,1818.819403,2024-09-17,2026-03-20,375,674,0.7151,2850.0,4.23,37.22,-78.59,1.1889,7.78,4.23,366.507246
trend__long__w15__ge_0.500000,trend,"{""family"": ""trend"", ""name"": ""trend__long__w15__ge_0.500000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.5, ""trend_mode"": ""long"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.5, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,1995,0.7258,12045.0,6.04,41.46,-87.74,1.251,6.14,6.04,1960.926,2021-03-23,2024-09-16,872,1379,0.7331,9765.0,7.08,43.17,-92.05,1.2883,6.14,7.08,1589.742,2024-09-17,2026-03-20,375,616,0.7094,2280.0,3.7,37.53,-78.88,1.1615,8.29,3.7,275.098592
trend__both__w15__ge_0.250000,trend,"{""family"": ""trend"", ""name"": ""trend__both__w15__ge_0.250000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.25, ""trend_mode"": ""both"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": true, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.25, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2305,0.7249,12510.0,5.43,40.85,-87.94,1.2244,8.2,5.43,1525.070671,2021-03-23,2024-09-16,872,1614,0.7255,9180.0,5.69,42.56,-91.77,1.2258,8.2,5.69,1119.116608,2024-09-17,2026-03-20,375,691,0.7236,3330.0,4.82,36.86,-79.06,1.2205,6.96,4.82,478.27125
trend__both__w15__ge_0.333333,trend,"{""family"": ""trend"", ""name"": ""trend__both__w15__ge_0.333333"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.333333, ""trend_mode"": ""both"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": true, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.333333, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2074,0.7252,11445.0,5.52,41.19,-88.61,1.2266,8.62,5.52,1328.211255,2021-03-23,2024-09-16,872,1458,0.7174,6890.0,4.73,42.97,-92.37,1.1811,8.62,4.73,799.595941,2024-09-17,2026-03-20,375,616,0.7435,4555.0,7.39,37.14,-78.83,1.3657,5.69,7.39,800.256562
trend__both__w15__ge_0.400000,trend,"{""family"": ""trend"", ""name"": ""trend__both__w15__ge_0.400000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.4, ""trend_mode"": ""both"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": true, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.4, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,1770,0.7254,10455.0,5.91,41.69,-88.63,1.2427,5.02,5.91,2084.625,2021-03-23,2024-09-16,872,1254,0.7273,7835.0,6.25,43.27,-92.47,1.2477,5.02,6.25,1562.222561,2024-09-17,2026-03-20,375,516,0.7209,2620.0,5.08,37.82,-79.51,1.2288,7.91,5.08,331.315534
trend__both__w15__ge_0.500000,trend,"{""family"": ""trend"", ""name"": ""trend__both__w15__ge_0.500000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.5, ""trend_mode"": ""both"", ""trend_window"": 15, ""volume_min"": 0.0, ""volume_mode"": ""off"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": true, ""ApplyTrendEfficiencyFilterToShorts"": true, ""ApplyVolumeFilterToLongs"": false, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.5, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 0.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,1290,0.7264,7925.0,6.14,42.16,-89.46,1.2509,4.78,6.14,1657.495739,2021-03-23,2024-09-16,872,898,0.7327,6220.0,6.93,43.66,-93.77,1.2764,4.35,6.93,1430.6,2024-09-17,2026-03-20,375,392,0.7117,1705.0,4.35,38.64,-80.31,1.1879,7.22,4.35,236.084375
volume__long__w15__ge_30000,volume,"{""family"": ""volume"", ""name"": ""volume__long__w15__ge_30000"", ""relvol_lookback"": 20, ""relvol_min"": 0.0, ""relvol_mode"": ""off"", ""trend_min"": 0.0, ""trend_mode"": ""off"", ""trend_window"": 15, ""volume_min"": 30000.0, ""volume_mode"": ""long"", ""volume_window"": 15}","{""ATRTimeFrame"": 15, ""ATR_Length"": 20, ""AllowFriday"": true, ""AllowMonday"": true, ""AllowThursday"": true, ""AllowTuesday"": true, ""AllowWednesday"": true, ""ApplyRelativeVolumeFilterToLongs"": false, ""ApplyRelativeVolumeFilterToShorts"": false, ""ApplyTrendEfficiencyFilterToLongs"": false, ""ApplyTrendEfficiencyFilterToShorts"": false, ""ApplyVolumeFilterToLongs"": true, ""ApplyVolumeFilterToShorts"": false, ""ContractsPerTrade"": 1.0, ""EntryStart_Hour"": 10, ""EntryStart_Minute"": 0, ""FilterAsPercOfContractMARange"": 0.3, ""LastEntry_Hour"": 15, ""LastEntry_Minute"": 0, ""MarketClose_Hour"": 18, ""MarketClose_Minute"": 0, ""MinDirectionalTrendEfficiency15m"": 0.0, ""MinRelativeVolumeAtTime"": 0.0, ""MinSignalVolumeWindowSum"": 30000.0, ""MinutesBeforeMarketCloseToClosePositions"": 5, ""NumDaysToConsiderPreviousContractMARange"": 5, ""RelativeVolumeLookbackDays"": 20, ""RetracementLevel"": 0.25, ""SL_ATRMultiplier"": 0.78, ""TP_ATRMultiplier"": 0.36, ""TrendEfficiencyWindowMinutes"": 15, ""VolumeWindowMinutes"": 15}",2021-03-23,2026-03-20,1247,2331,0.7246,13005.0,5.58,41.88,-89.91,1.2253,8.05,5.58,1614.930099,2021-03-23,2024-09-16,872,1658,0.7262,10135.0,6.11,43.63,-93.38,1.2391,8.05,6.11,1258.540296,2024-09-17,2026-03-20,375,673,0.7207,2870.0,4.26,37.53,-81.54,1.1872,8.28,4.26,346.752459
