name,family,fold,start_date,end_date,trading_days,total_trades,win_rate,net_profit_brl,avg_profit_brl,avg_win_brl,avg_loss_brl,profit_factor,max_drawdown_pct,expected_payoff,on_tester_value
baseline,baseline,1,2022-01-21,2022-11-21,208,453,0.7395,3985.0,8.8,51.42,-112.2,1.301,11.19,8.8,356.234848
baseline,baseline,2,2022-11-22,2023-09-19,208,419,0.7279,1935.0,4.62,39.11,-87.68,1.1936,4.65,4.62,416.122727
baseline,baseline,3,2023-09-20,2024-07-22,208,436,0.6995,690.0,1.58,28.18,-60.34,1.0873,6.89,1.58,100.07482
baseline,baseline,4,2024-07-23,2025-05-23,208,402,0.7388,2875.0,7.15,43.25,-94.95,1.2884,8.08,7.15,355.701389
baseline,baseline,5,2025-05-26,2026-03-20,207,464,0.7069,950.0,2.05,31.36,-68.64,1.1018,6.18,2.05,153.759259
trend__long__w15__ge_0.250000,trend,1,2022-01-21,2022-11-21,208,427,0.7377,3615.0,8.47,51.71,-113.17,1.2852,10.04,8.47,360.227113
trend__long__w15__ge_0.250000,trend,2,2022-11-22,2023-09-19,208,390,0.7308,1965.0,5.04,39.07,-87.33,1.2143,4.49,5.04,437.364433
trend__long__w15__ge_0.250000,trend,3,2023-09-20,2024-07-22,208,402,0.7015,585.0,1.46,28.0,-60.92,1.08,7.27,1.46,80.457534
trend__long__w15__ge_0.250000,trend,4,2024-07-23,2025-05-23,208,382,0.7461,3175.0,8.31,43.44,-94.9,1.3449,6.64,8.31,477.932119
trend__long__w15__ge_0.250000,trend,5,2025-05-26,2026-03-20,207,428,0.6963,460.0,1.07,31.48,-68.62,1.0516,6.37,1.07,72.226866
trend__long__w15__ge_0.333333,trend,1,2022-01-21,2022-11-21,208,415,0.7398,3755.0,9.05,51.95,-112.92,1.3079,10.28,9.05,365.189661
trend__long__w15__ge_0.333333,trend,2,2022-11-22,2023-09-19,208,369,0.7344,2065.0,5.6,39.28,-87.55,1.2407,4.5,5.6,458.983505
trend__long__w15__ge_0.333333,trend,3,2023-09-20,2024-07-22,208,376,0.6995,505.0,1.34,28.06,-60.84,1.0735,6.72,1.34,75.114074
trend__long__w15__ge_0.333333,trend,4,2024-07-23,2025-05-23,208,371,0.7601,3845.0,10.36,43.51,-94.66,1.4564,3.96,10.36,971.390659
trend__long__w15__ge_0.333333,trend,5,2025-05-26,2026-03-20,207,411,0.7032,665.0,1.62,31.52,-69.22,1.0787,6.29,1.62,105.71037
trend__long__w15__ge_0.400000,trend,1,2022-01-21,2022-11-21,208,383,0.7467,3900.0,10.18,52.05,-113.25,1.355,6.6,10.18,590.722826
trend__long__w15__ge_0.400000,trend,2,2022-11-22,2023-09-19,208,340,0.7382,2125.0,6.25,39.52,-87.58,1.2726,3.56,6.25,597.451923
trend__long__w15__ge_0.400000,trend,3,2023-09-20,2024-07-22,208,348,0.7011,605.0,1.74,28.18,-60.29,1.0965,5.53,1.74,109.445045
trend__long__w15__ge_0.400000,trend,4,2024-07-23,2025-05-23,208,348,0.7471,3135.0,9.01,44.04,-94.49,1.377,3.87,9.01,809.147468
trend__long__w15__ge_0.400000,trend,5,2025-05-26,2026-03-20,207,382,0.6859,-85.0,-0.22,31.62,-69.75,0.9898,8.66,-0.22,-9.820621
trend__long__w15__ge_0.500000,trend,1,2022-01-21,2022-11-21,208,349,0.7507,3740.0,10.72,52.23,-114.31,1.3761,6.3,10.72,594.051163
trend__long__w15__ge_0.500000,trend,2,2022-11-22,2023-09-19,208,294,0.7381,1970.0,6.7,39.84,-86.69,1.2951,3.96,6.7,497.096667
trend__long__w15__ge_0.500000,trend,3,2023-09-20,2024-07-22,208,312,0.7051,645.0,2.07,28.3,-60.65,1.1156,5.24,2.07,123.097642
trend__long__w15__ge_0.500000,trend,4,2024-07-23,2025-05-23,208,314,0.742,2695.0,8.58,44.51,-94.75,1.3511,3.12,8.58,864.008955
trend__long__w15__ge_0.500000,trend,5,2025-05-26,2026-03-20,207,351,0.6809,-220.0,-0.63,31.78,-69.78,0.9718,10.29,-0.63,-21.380282
trend__both__w15__ge_0.250000,trend,1,2022-01-21,2022-11-21,208,400,0.735,3180.0,7.95,51.58,-113.07,1.2653,10.27,7.95,309.684806
trend__both__w15__ge_0.250000,trend,2,2022-11-22,2023-09-19,208,353,0.7309,1735.0,4.92,39.09,-87.89,1.2078,5.39,4.92,321.973009
trend__both__w15__ge_0.250000,trend,3,2023-09-20,2024-07-22,208,370,0.7054,595.0,1.61,28.01,-61.61,1.0886,6.84,1.61,87.035036
trend__both__w15__ge_0.250000,trend,4,2024-07-23,2025-05-23,208,355,0.7493,3095.0,8.72,43.44,-95.06,1.3658,6.84,8.72,452.256875
trend__both__w15__ge_0.250000,trend,5,2025-05-26,2026-03-20,207,394,0.698,435.0,1.1,31.76,-69.75,1.0524,6.14,1.1,70.857422
trend__both__w15__ge_0.333333,trend,1,2022-01-21,2022-11-21,208,371,0.7251,2410.0,6.5,51.95,-113.38,1.2084,10.28,6.5,234.330258
trend__both__w15__ge_0.333333,trend,2,2022-11-22,2023-09-19,208,311,0.7331,1660.0,5.34,39.45,-88.37,1.2263,6.34,5.34,261.759701
trend__both__w15__ge_0.333333,trend,3,2023-09-20,2024-07-22,208,327,0.6881,30.0,0.09,28.24,-62.01,1.0047,8.95,0.09,3.351955
trend__both__w15__ge_0.333333,trend,4,2024-07-23,2025-05-23,208,323,0.774,4015.0,12.43,43.38,-93.56,1.5878,3.0,12.43,1336.797541
trend__both__w15__ge_0.333333,trend,5,2025-05-26,2026-03-20,207,346,0.711,780.0,2.25,32.07,-71.1,1.1097,5.06,2.25,154.06789
trend__both__w15__ge_0.400000,trend,1,2022-01-21,2022-11-21,208,315,0.7429,2960.0,9.4,51.97,-113.58,1.3217,3.8,9.4,779.581395
trend__both__w15__ge_0.400000,trend,2,2022-11-22,2023-09-19,208,263,0.7414,1675.0,6.37,39.64,-89.04,1.2766,7.61,6.37,220.20122
trend__both__w15__ge_0.400000,trend,3,2023-09-20,2024-07-22,208,275,0.6945,305.0,1.11,28.61,-61.43,1.0591,5.3,1.11,57.54717
trend__both__w15__ge_0.400000,trend,4,2024-07-23,2025-05-23,208,271,0.7601,2995.0,11.05,44.32,-94.38,1.4882,3.0,11.05,997.187705
trend__both__w15__ge_0.400000,trend,5,2025-05-26,2026-03-20,207,293,0.686,-90.0,-0.31,32.49,-71.96,0.9864,7.2,-0.31,-12.50625
trend__both__w15__ge_0.500000,trend,1,2022-01-21,2022-11-21,208,233,0.7511,2410.0,10.34,52.09,-115.6,1.3594,4.38,10.34,550.320183
trend__both__w15__ge_0.500000,trend,2,2022-11-22,2023-09-19,208,177,0.7288,1005.0,5.68,40.19,-87.08,1.2404,6.11,5.68,164.433462
