name,folds,positive_folds,wins_vs_baseline_net,wins_vs_baseline_pf,mean_net_profit_brl,mean_avg_profit_brl,mean_profit_factor,mean_max_drawdown_pct,mean_on_tester_value
combo__trend__both__w15__ge_0.333333__volume__long__w15__ge_50000,5,4,1,2,1202.0,5.153999999999999,1.2238799999999999,6.414,281.1330258
combo__trend__long__w15__ge_0.333333__volume__short__w30__ge_30000__relvol__short__lb60__ge_0.85,5,5,1,3,1893.0,5.402,1.2238200000000004,6.384,356.686332
combo__trend__long__w15__ge_0.400000__volume__long__w15__ge_50000__relvol__short__lb40__ge_0.85,5,5,1,4,1471.0,6.27,1.2662400000000003,5.548,275.79316839999996
combo__trend__both__w15__ge_0.333333__volume__long__w15__ge_50000__relvol__short__lb40__ge_0.85,5,4,1,2,1140.0,5.574,1.2424,6.101999999999999,260.9739106
trend__both__w15__ge_0.333333,5,5,1,3,1779.0,5.322,1.2273800000000001,6.725999999999999,398.061469
combo__trend__long__w15__ge_0.333333__relvol__short__lb40__ge_0.85,5,5,2,3,2001.0,5.723999999999999,1.2403600000000001,6.664,330.99494599999997
combo__trend__long__w15__ge_0.333333__volume__long__w15__ge_50000__relvol__short__lb40__ge_0.85,5,5,1,3,1424.0,5.858,1.2475,6.0699999999999985,250.3090626
combo__trend__both__w15__ge_0.333333__relvol__short__lb40__ge_0.85,5,5,1,2,1717.0,5.52,1.23848,6.322,386.1406984
combo__trend__both__w15__ge_0.333333__volume__long__w15__ge_50000__relvol__short__lb60__ge_0.85,5,4,1,2,1119.0,5.331999999999999,1.22924,6.6659999999999995,236.0920744
combo__trend__long__w15__ge_0.333333__volume__long__w15__ge_50000__relvol__short__lb60__ge_0.85,5,5,1,3,1439.0,5.83,1.2459,6.168,243.8660994
combo__trend__both__w15__ge_0.333333__volume__short__w30__ge_30000,5,5,1,3,1831.0,5.526,1.2347,6.744,401.1203668
combo__trend__long__w15__ge_0.333333__volume__long__w15__ge_50000,5,5,1,3,1590.0,5.468000000000001,1.22324,6.234,277.22843539999997
combo__trend__long__w15__ge_0.333333__volume__short__w30__ge_30000__relvol__short__lb40__ge_0.85,5,5,2,3,1959.0,5.626,1.23526,6.108,396.6598816
combo__trend__both__w15__ge_0.333333__relvol__short__lb60__ge_0.85,5,5,1,2,1696.0,5.438000000000001,1.23286,6.88,370.1457916
trend__long__w15__ge_0.333333,5,5,2,3,2167.0,5.594,1.2314399999999999,6.35,395.2776538
combo__trend__long__w15__ge_0.400000__volume__long__w15__ge_50000__relvol__short__lb60__ge_0.85,5,5,1,4,1486.0,6.244,1.26502,5.667999999999999,269.23042539999994
combo__trend__long__w15__ge_0.333333__relvol__short__lb60__ge_0.85,5,5,2,2,2016.0,5.726000000000001,1.2398200000000001,6.531999999999999,356.9854534
combo__trend__long__w15__ge_0.333333__volume__short__w30__ge_30000,5,5,3,4,2235.0,5.836,1.2416800000000001,6.324,400.64219080000004
combo__trend__long__w15__ge_0.400000__volume__long__w15__ge_50000,5,5,1,4,1637.0,5.8420000000000005,1.2402000000000002,5.794,296.92685679999994
combo__trend__both__w15__ge_0.333333__volume__short__w30__ge_30000__relvol__short__lb60__ge_0.85,5,5,1,1,1541.0,5.0200000000000005,1.21044,7.148000000000001,335.2863246
combo__trend__both__w15__ge_0.333333__volume__short__w30__ge_30000__relvol__short__lb40__ge_0.85,5,5,1,1,1511.0,4.9399999999999995,1.2055,6.991999999999999,376.323415
combo__volume__long__w15__ge_50000__relvol__short__lb40__ge_0.85,5,5,1,2,1412.0,5.593999999999999,1.24006,6.960000000000001,216.33503960000002
combo__volume__long__w15__ge_50000__relvol__short__lb60__ge_0.85,5,5,1,3,1427.0,5.572,1.23916,6.986,212.4913556
combo__trend__both__w15__ge_0.333333__volume__long__w15__ge_50000__relvol__both__lb20__ge_1.00,5,4,0,3,1252.0,6.456,1.2646600000000001,5.682,276.8894566
volume__long__w15__ge_50000,5,5,1,3,1578.0,5.220000000000001,1.21496,6.978,236.700522
combo__trend__long__w15__ge_0.333333__volume__both__w30__ge_50000__relvol__short__lb60__ge_0.85,5,5,2,2,1710.0,5.302,1.20866,6.264,297.2183946
