filter,kept_trades,removed_trades,retain_pct,removed_net,train_net,train_avg,train_pf,train_win,train_dd,test_net,test_avg,test_pf,test_win,test_dd,all_net,all_avg,all_pf,all_win,all_dd,test_net_delta,test_avg_delta,test_pf_delta,test_dd_delta
skip_long,1390,1366,0.5043541364296081,6450.0,4625.0,4.878691983122363,1.1975651431012388,0.7521097046413502,6.125,3235.0,7.319004524886878,1.3988902589395809,0.7669683257918553,6.946454413892909,7860.0,5.654676258992806,1.2493654822335025,0.7568345323741007,6.125,-1165.0,2.055846630150035,0.14652432834021178,-2.0906799929424507
skip_if_range_vs_filter_ge_1.8,1381,1373,0.5014524328249819,8745.0,3080.0,3.2049947970863686,1.1367066134043498,0.7242455775234131,10.66427289048474,2540.0,6.0476190476190474,1.3486616334934798,0.7595238095238095,3.606557377049181,5620.0,4.069514844315713,1.1884957236290459,0.7349746560463433,10.66427289048474,-1860.0,0.784461152882205,0.09629570289411071,-5.430577029786179
skip_if_range_vs_filter_ge_2.0,1737,1017,0.630718954248366,6675.0,5030.0,4.14674361088211,1.1772062709177382,0.731244847485573,8.623040218132243,2660.0,5.076335877862595,1.2769390942217596,0.7461832061068703,5.444015444015444,7690.0,4.427173287276914,1.2024216899183995,0.7357512953367875,8.623040218132243,-1740.0,-0.18682201687424715,0.02457316362239048,-3.593118962819916
skip_entry_hour_13,2508,248,0.9100145137880987,465.0,9890.0,5.625711035267349,1.2344157383266177,0.7372013651877133,7.179766113679629,3955.0,5.273333333333333,1.2573194534808068,0.7453333333333333,6.405693950177936,13845.0,5.520334928229665,1.240531619179986,0.7396331738437002,7.179766113679629,-445.0,0.010175438596490949,0.004953522881437689,-2.6314404566574243
skip_wednesday,2179,577,0.7906386066763426,635.0,10135.0,6.624183006535947,1.2783193738843883,0.74640522875817,8.622171297622458,3540.0,5.454545454545454,1.2571739920087177,0.7473035439137135,9.500523925951798,13675.0,6.27581459385039,1.2725189318453567,0.7466727856815053,8.622171297622458,-860.0,0.19138755980861166,0.004808061409348641,0.4633895191164381
baseline_keep_all,2756,0,1.0,0.0,9910.0,5.161458333333333,1.2092483108108107,0.7359375,8.914728682170542,4400.0,5.2631578947368425,1.252365930599369,0.742822966507177,9.03713440683536,14310.0,5.1923076923076925,1.220850374257273,0.7380261248185777,8.914728682170542,0.0,0.0,0.0,0.0
skip_entry_hour_15,2746,10,0.9963715529753265,-140.0,10095.0,5.282574568288854,1.2151763828199935,0.7367870225013082,8.821917808219178,4355.0,5.2155688622754495,1.2497849154000573,0.7425149700598802,9.063941990771259,14450.0,5.2621995630007286,1.2245532245532245,0.7385287691187181,8.821917808219178,-45.0,-0.04758903246139301,-0.0025810151993117536,0.02680758393589855
require_signal_vwap_align,2750,4,0.9985475671750181,-20.0,10030.0,5.248560962846677,1.2126576910844906,0.7378335949764521,8.914728682170542,4355.0,5.190703218116806,1.248928265218634,0.7425506555423123,9.096923585841878,14385.0,5.2309090909090905,1.2224713888029695,0.7392727272727273,8.914728682170542,-45.0,-0.0724546766200369,-0.0034376653807350888,0.05978917900651837
cancel_wait_ge_30m,1986,770,0.7206095791001451,5655.0,5650.0,4.109090909090909,1.1664702416028285,0.7265454545454545,7.530213820886273,3005.0,4.918166939443535,1.2423387096774194,0.7364975450081833,6.161137440758294,8655.0,4.358006042296073,1.1867716875269745,0.729607250755287,7.530213820886273,-1395.0,-0.3449909552933077,-0.010027220921949631,-2.875996966077066
require_signal_ret15_align,2722,32,0.9883805374001452,325.0,9880.0,5.213720316622691,1.2109758701686952,0.7382585751978892,8.974358974358974,4160.0,5.030229746070133,1.240254114929252,0.7424425634824667,8.726415094339622,14040.0,5.157972079353416,1.2188791020344532,0.7395297575312271,8.974358974358974,-240.0,-0.2329281486667094,-0.012111815670116988,-0.31071931249573836
require_signal_ret30_align,2730,24,0.9912854030501089,105.0,10135.0,5.33421052631579,1.216652415562206,0.7389473684210527,8.909795240730492,4125.0,4.969879518072289,1.2365252293577982,0.7409638554216867,9.511051574012058,14260.0,5.2234432234432235,1.222049205854874,0.7395604395604396,8.909795240730492,-275.0,-0.2932783766645537,-0.015840701241570887,0.4739171671766975
skip_if_range_vs_filter_ge_2.5,2295,459,0.8333333333333334,3455.0,7820.0,4.8875,1.204097611901344,0.734375,8.38672102504368,3090.0,4.446043165467626,1.225465158701204,0.7410071942446043,8.096280087527353,10910.0,4.753812636165577,1.2097270280661283,0.7363834422657952,8.38672102504368,-1310.0,-0.8171147292692167,-0.026900771898165088,-0.9408543193080074
skip_trade_seq_ge_5,2665,91,0.9669811320754716,375.0,10300.0,5.549568965517241,1.228052695671427,0.7392241379310345,8.843724251579237,3635.0,4.493201483312732,1.2120770128354725,0.7391841779975278,9.200968523002421,13935.0,5.228893058161351,1.2236578123746087,0.7392120075046904,8.843724251579237,-765.0,-0.7699564114241104,-0.04028891776389654,0.16383411616706134
skip_trade_seq_ge_4,2457,299,0.8915094339622641,205.0,10845.0,6.342105263157895,1.268873187058386,0.7421052631578947,7.555555555555555,3260.0,4.364123159303882,1.2066561014263075,0.7416331994645248,8.224034030485644,14105.0,5.7407407407407405,1.2513812154696133,0.7419617419617419,7.555555555555555,-1140.0,-0.8990347354329602,-0.045709829173061545,-0.8131003763497162
skip_if_range_vs_filter_ge_1.5,758,1996,0.27523602033405953,12345.0,1345.0,2.621832358674464,1.1155498281786942,0.7270955165692008,13.07596513075965,675.0,2.7551020408163267,1.145945945945946,0.7306122448979592,4.327375352775165,2020.0,2.6649076517150396,1.1241930525668613,0.7282321899736148,13.07596513075965,-3725.0,-2.5080558539205158,-0.10641998465342306,-4.7097590540601955
require_signal_ema_and_ret15_align,1502,1252,0.5453885257806826,7665.0,5475.0,5.234225621414914,1.2153392330383481,0.7380497131931166,6.61641541038526,1225.0,2.68640350877193,1.1221335992023929,0.7324561403508771,12.135922330097088,6700.0,4.4607190412782955,1.1889719362572275,0.7363515312916112,8.410428931875526,-3175.0,-2.5767543859649127,-0.1302323313969762,3.098787923261728
require_signal_ema_trend_align,1516,1238,0.5504720406681191,7715.0,5440.0,5.156398104265403,1.2116731517509727,0.7364928909952607,6.61641541038526,1210.0,2.6247288503253796,1.119153126538651,0.7310195227765727,13.031275060144345,6650.0,4.386543535620053,1.1854692511504672,0.7348284960422163,9.073143495254048,-3190.0,-2.638429044411463,-0.13321280406071812,3.9941406533089854
