number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinDirectionalTrendEfficiency15m,params_MinRelativeVolumeAtTime,params_MinSignalVolumeWindowSum,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RelativeVolumeFilterMode,params_RelativeVolumeLookbackDays,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,params_TrendEfficiencyFilterMode,params_TrendEfficiencyWindowMinutes,params_VolumeFilterMode,params_VolumeWindowMinutes,user_attrs_train_metrics,state
0,357.640984,2026-03-27 01:15:58.154189,2026-03-27 01:16:10.875841,0 days 00:00:12.721652,35,True,True,False,False,False,675,0.2,885,0.5,0.7,52500.0,5,4,long,15,0.19,1.4500000000000002,1.0,off,20,long,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 170, 'win_rate': 0.6412, 'net_profit_brl': 3130.0, 'avg_profit_brl': 18.41, 'avg_win_brl': 115.0, 'avg_loss_brl': -156.75, 'profit_factor': 1.3328, 'max_drawdown_pct': 8.75, 'expected_payoff': 18.41, 'on_tester_value': 357.640984}",COMPLETE
1,-984.0,2026-03-27 01:16:10.875907,2026-03-27 01:16:23.223267,0 days 00:00:12.347360,10,True,False,True,False,False,575,0.45000000000000007,785,0.45,2.2,67500.0,13,8,both,10,0.37,1.3,0.25,short,15,off,10,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 16, 'win_rate': 0.875, 'net_profit_brl': 160.0, 'avg_profit_brl': 10.0, 'avg_win_brl': 35.0, 'avg_loss_brl': -165.0, 'profit_factor': 1.4848, 'max_drawdown_pct': 2.03, 'expected_payoff': 10.0, 'on_tester_value': 78.673171}",COMPLETE
2,-993.0,2026-03-27 01:16:23.223394,2026-03-27 01:16:35.522336,0 days 00:00:12.298942,12,True,False,True,False,False,795,0.5,805,0.25,1.25,75000.0,5,5,short,20,0.13,1.25,0.30000000000000004,off,25,off,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 7, 'win_rate': 0.7143, 'net_profit_brl': -165.0, 'avg_profit_brl': -23.57, 'avg_win_brl': 38.0, 'avg_loss_brl': -177.5, 'profit_factor': 0.5352, 'max_drawdown_pct': 2.84, 'expected_payoff': -23.57, 'on_tester_value': -58.184211}",COMPLETE
3,35.820896,2026-03-27 01:16:35.522398,2026-03-27 01:16:47.446590,0 days 00:00:11.924192,28,False,False,True,True,False,595,0.30000000000000004,875,0.8,1.05,27500.0,8,7,off,35,0.36,0.75,0.1,short,15,long,30,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 283, 'win_rate': 0.9046, 'net_profit_brl': 240.0, 'avg_profit_brl': 0.85, 'avg_win_brl': 10.94, 'avg_loss_brl': -94.81, 'profit_factor': 1.0938, 'max_drawdown_pct': 6.7, 'expected_payoff': 0.85, 'on_tester_value': 35.820896}",COMPLETE
4,89.666722,2026-03-27 01:16:47.446633,2026-03-27 01:16:59.733291,0 days 00:00:12.286658,37,False,True,False,True,False,555,0.4,640,0.55,1.15,77500.0,4,6,long,15,0.12000000000000001,0.6,0.9500000000000001,off,10,off,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 325, 'win_rate': 0.4154, 'net_profit_brl': 1085.0, 'avg_profit_brl': 3.34, 'avg_win_brl': 104.26, 'avg_loss_brl': -68.37, 'profit_factor': 1.0835, 'max_drawdown_pct': 12.1, 'expected_payoff': 3.34, 'on_tester_value': 89.666722}",COMPLETE
5,-981.0,2026-03-27 01:16:59.733348,2026-03-27 01:17:12.181899,0 days 00:00:12.448551,30,False,False,False,True,False,780,0.45000000000000007,835,0.15000000000000002,1.8000000000000003,25000.0,9,6,short,25,0.12000000000000001,1.15,0.9,off,25,long,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 19, 'win_rate': 0.2632, 'net_profit_brl': -1015.0, 'avg_profit_brl': -53.42, 'avg_win_brl': 112.0, 'avg_loss_brl': -112.5, 'profit_factor': 0.3556, 'max_drawdown_pct': 12.05, 'expected_payoff': -53.42, 'on_tester_value': -84.232365}",COMPLETE
6,-15.982238,2026-03-27 01:17:12.181947,2026-03-27 01:17:25.179722,0 days 00:00:12.997775,31,True,False,True,True,True,570,0.25,670,0.25,0.85,70000.0,9,3,both,25,0.30000000000000004,1.05,0.9500000000000001,short,30,off,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 705, 'win_rate': 0.5277, 'net_profit_brl': -440.0, 'avg_profit_brl': -0.62, 'avg_win_brl': 106.87, 'avg_loss_brl': -120.71, 'profit_factor': 0.9891, 'max_drawdown_pct': 27.53, 'expected_payoff': -0.62, 'on_tester_value': -15.982238}",COMPLETE
7,980.795848,2026-03-27 01:17:25.179768,2026-03-27 01:17:37.819961,0 days 00:00:12.640193,13,True,True,True,False,True,575,0.5,760,0.45,0.65,52500.0,8,6,both,10,0.25,1.35,0.4,off,20,off,15,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 940, 'win_rate': 0.8106, 'net_profit_brl': 8655.0, 'avg_profit_brl': 9.21, 'avg_win_brl': 51.31, 'avg_loss_brl': -171.04, 'profit_factor': 1.2843, 'max_drawdown_pct': 8.82, 'expected_payoff': 9.21, 'on_tester_value': 980.795848}",COMPLETE
8,771.572345,2026-03-27 01:17:37.820007,2026-03-27 01:17:50.754682,0 days 00:00:12.934675,33,True,True,False,True,True,820,0.30000000000000004,615,0.8,1.25,50000.0,1,3,short,40,0.1,0.75,0.4,off,15,both,25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1046, 'win_rate': 0.6902, 'net_profit_brl': 5305.0, 'avg_profit_brl': 5.07, 'avg_win_brl': 48.83, 'avg_loss_brl': -92.44, 'profit_factor': 1.1771, 'max_drawdown_pct': 6.88, 'expected_payoff': 5.07, 'on_tester_value': 771.572345}",COMPLETE
9,39.496988,2026-03-27 01:17:50.754725,2026-03-27 01:18:03.500357,0 days 00:00:12.745632,16,True,False,False,True,False,580,0.15,555,0.5,1.2000000000000002,47500.0,2,5,both,60,0.29000000000000004,1.5,0.9500000000000001,long,15,long,20,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 50, 'win_rate': 0.66, 'net_profit_brl': 310.0, 'avg_profit_brl': 6.2, 'avg_win_brl': 114.7, 'avg_loss_brl': -204.41, 'profit_factor': 1.0892, 'max_drawdown_pct': 7.85, 'expected_payoff': 6.2, 'on_tester_value': 39.496988}",COMPLETE
