session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-04-01,2021-04-01 09:16:00,2021-04-01 09:16:00,2021-04-01 09:16:00,long,5651.0,5653.5,5639.5,5653.5,2.5,25.0,limit_touch,take_profit
2021-04-01,2021-04-01 09:21:00,2021-04-01 09:21:00,2021-04-01 09:21:00,long,5660.0,5662.5,5648.0,5662.5,2.5,25.0,limit_touch,take_profit
2021-04-01,2021-04-01 09:26:00,2021-04-01 09:26:00,2021-04-01 09:26:00,long,5662.0,5664.5,5650.0,5664.5,2.5,25.0,limit_touch,take_profit
2021-04-01,2021-04-01 09:51:00,2021-04-01 09:53:00,2021-04-01 09:53:00,long,5683.5,5686.0,5671.5,5686.0,2.5,25.0,limit_touch,take_profit
2021-04-01,2021-04-01 10:58:00,2021-04-01 11:01:00,2021-04-01 11:05:00,long,5704.5,5707.0,5692.0,5707.0,2.5,25.0,limit_touch,take_profit
2021-04-05,2021-04-05 09:40:00,2021-04-05 09:40:00,2021-04-05 09:40:00,short,5667.0,5664.5,5678.0,5664.5,2.5,25.0,limit_touch,take_profit
2021-04-05,2021-04-05 10:18:00,2021-04-05 10:18:00,2021-04-05 10:18:00,short,5656.5,5654.0,5667.5,5654.0,2.5,25.0,limit_touch,take_profit
2021-04-05,2021-04-05 10:19:00,2021-04-05 10:19:00,2021-04-05 10:22:00,short,5655.0,5652.5,5666.0,5652.5,2.5,25.0,limit_touch,take_profit
2021-04-05,2021-04-05 10:25:00,2021-04-05 10:25:00,2021-04-05 10:25:00,short,5650.5,5648.0,5662.0,5648.0,2.5,25.0,limit_touch,take_profit
2021-04-05,2021-04-05 11:17:00,2021-04-05 11:17:00,2021-04-05 11:17:00,short,5648.0,5645.5,5659.0,5645.5,2.5,25.0,limit_touch,take_profit
2021-04-06,2021-04-06 09:11:00,2021-04-06 09:12:00,2021-04-06 09:12:00,short,5654.5,5652.5,5663.5,5652.5,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 09:14:00,2021-04-06 09:15:00,2021-04-06 09:15:00,short,5651.0,5649.0,5660.0,5649.0,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 09:27:00,2021-04-06 09:27:00,2021-04-06 09:27:00,short,5646.0,5644.0,5655.5,5644.0,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:15:00,2021-04-06 11:15:00,2021-04-06 11:15:00,short,5638.0,5636.0,5647.0,5636.0,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:21:00,2021-04-06 11:22:00,2021-04-06 11:22:00,short,5633.0,5631.0,5642.5,5631.0,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:27:00,2021-04-06 11:28:00,2021-04-06 11:28:00,short,5630.0,5628.0,5639.5,5628.0,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:58:00,2021-04-06 12:00:00,2021-04-06 12:00:00,short,5625.5,5623.5,5635.0,5623.5,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 12:20:00,2021-04-06 12:23:00,2021-04-06 12:23:00,short,5624.5,5622.5,5633.5,5622.5,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 13:06:00,2021-04-06 13:15:00,2021-04-06 13:15:00,short,5616.5,5614.5,5625.5,5614.5,2.0,20.0,limit_touch,take_profit
2021-04-06,2021-04-06 13:29:00,2021-04-06 13:37:00,2021-04-06 13:37:00,short,5613.0,5611.0,5622.0,5611.0,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 09:27:00,2021-04-07 09:28:00,2021-04-07 09:28:00,short,5590.5,5585.5,5596.5,5585.5,5.0,50.0,better_open,take_profit
2021-04-07,2021-04-07 09:29:00,2021-04-07 09:29:00,2021-04-07 09:29:00,short,5586.0,5584.0,5595.0,5584.0,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 09:30:00,2021-04-07 09:30:00,2021-04-07 09:30:00,short,5584.5,5582.5,5593.0,5582.5,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 10:32:00,2021-04-07 10:34:00,2021-04-07 10:34:00,short,5579.5,5577.5,5589.0,5577.5,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 10:36:00,2021-04-07 10:36:00,2021-04-07 10:36:00,short,5579.0,5577.0,5588.5,5577.0,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 11:31:00,2021-04-07 11:31:00,2021-04-07 11:31:00,short,5565.5,5563.5,5575.5,5563.5,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 11:42:00,2021-04-07 11:47:00,2021-04-07 11:47:00,short,5563.5,5561.5,5574.0,5561.5,2.0,20.0,limit_touch,take_profit
2021-04-07,2021-04-07 12:44:00,2021-04-07 12:46:00,2021-04-07 12:46:00,long,5618.0,5620.5,5607.0,5620.5,2.5,25.0,limit_touch,take_profit
2021-04-07,2021-04-07 13:24:00,2021-04-07 13:25:00,2021-04-07 13:25:00,long,5631.5,5634.0,5620.0,5634.0,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 09:14:00,2021-04-08 09:15:00,2021-04-08 09:19:00,long,5613.0,5606.5,5606.5,5620.5,-6.5,-65.0,better_open,stop_loss
2021-04-08,2021-04-08 10:06:00,2021-04-08 10:06:00,2021-04-08 10:06:00,short,5594.0,5591.5,5605.5,5591.5,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 10:12:00,2021-04-08 10:13:00,2021-04-08 10:13:00,short,5586.5,5584.0,5598.0,5584.0,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 10:26:00,2021-04-08 10:26:00,2021-04-08 10:26:00,short,5583.5,5581.0,5595.0,5581.0,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 11:19:00,2021-04-08 11:19:00,2021-04-08 11:19:00,long,5619.5,5622.0,5607.5,5622.0,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 12:55:00,2021-04-08 12:55:00,2021-04-08 12:55:00,short,5579.0,5576.5,5590.5,5576.5,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:16:00,2021-04-08 13:18:00,2021-04-08 13:18:00,short,5578.5,5576.0,5590.0,5576.0,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:31:00,2021-04-08 13:31:00,2021-04-08 13:32:00,short,5572.0,5569.5,5583.0,5569.5,2.5,25.0,limit_touch,take_profit
2021-04-08,2021-04-08 13:55:00,2021-04-08 14:05:00,2021-04-08 14:05:00,short,5557.0,5554.5,5568.5,5554.5,2.5,25.0,limit_touch,take_profit
2021-04-09,2021-04-09 09:24:00,2021-04-09 09:24:00,2021-04-09 09:24:00,long,5626.5,5629.0,5616.0,5629.0,2.5,25.0,limit_touch,take_profit
2021-04-09,2021-04-09 09:25:00,2021-04-09 09:25:00,2021-04-09 09:25:00,long,5629.0,5631.5,5618.5,5631.5,2.5,25.0,limit_touch,take_profit
