number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,user_attrs_train_metrics,state
0,2678.823529,2026-03-26 01:57:08.469531,2026-03-26 01:57:11.732240,0 days 00:00:03.262709,26,True,True,True,True,True,675,0.4,885,7,6,0.14,0.65,0.35,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1490, 'win_rate': 0.7523, 'net_profit_brl': 16800.0, 'avg_profit_brl': 11.28, 'avg_win_brl': 41.15, 'avg_loss_brl': -80.12, 'profit_factor': 1.5729, 'max_drawdown_pct': 6.27, 'expected_payoff': 11.28, 'on_tester_value': 2678.823529}",COMPLETE
1,63.259155,2026-03-26 01:57:11.732311,2026-03-26 01:57:14.579045,0 days 00:00:02.846734,19,False,False,True,False,True,645,0.2,760,2,4,0.21000000000000002,1.5,0.85,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 405, 'win_rate': 0.6469, 'net_profit_brl': 1530.0, 'avg_profit_brl': 3.78, 'avg_win_brl': 102.46, 'avg_loss_brl': -177.03, 'profit_factor': 1.0604, 'max_drawdown_pct': 24.19, 'expected_payoff': 3.78, 'on_tester_value': 63.259155}",COMPLETE
2,679.757143,2026-03-26 01:57:14.579107,2026-03-26 01:57:17.333001,0 days 00:00:02.753894,38,False,True,False,True,False,785,0.15,700,2,5,0.11,1.4,0.65,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 362, 'win_rate': 0.7486, 'net_profit_brl': 6120.0, 'avg_profit_brl': 16.91, 'avg_win_brl': 72.77, 'avg_loss_brl': -151.11, 'profit_factor': 1.45, 'max_drawdown_pct': 9.0, 'expected_payoff': 16.91, 'on_tester_value': 679.757143}",COMPLETE
3,555.838926,2026-03-26 01:57:17.333055,2026-03-26 01:57:20.063075,0 days 00:00:02.730020,31,True,True,False,False,False,610,0.25,555,11,5,0.18,0.5,0.85,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 730, 'win_rate': 0.3945, 'net_profit_brl': 4100.0, 'avg_profit_brl': 5.62, 'avg_win_brl': 95.0, 'avg_loss_brl': -55.25, 'profit_factor': 1.1763, 'max_drawdown_pct': 7.38, 'expected_payoff': 5.62, 'on_tester_value': 555.838926}",COMPLETE
4,373.511836,2026-03-26 01:57:20.063137,2026-03-26 01:57:23.286243,0 days 00:00:03.223106,27,True,True,False,False,False,820,0.25,565,12,3,0.36,1.2000000000000002,0.8,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 713, 'win_rate': 0.6367, 'net_profit_brl': 6745.0, 'avg_profit_brl': 9.46, 'avg_win_brl': 91.37, 'avg_loss_brl': -137.29, 'profit_factor': 1.1942, 'max_drawdown_pct': 18.06, 'expected_payoff': 9.46, 'on_tester_value': 373.511836}",COMPLETE
5,-962.0,2026-03-26 01:57:23.286302,2026-03-26 01:57:26.027688,0 days 00:00:02.741386,38,True,False,False,False,True,720,0.30000000000000004,730,13,3,0.13,0.8,0.25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 38, 'win_rate': 0.9474, 'net_profit_brl': 1020.0, 'avg_profit_brl': 26.84, 'avg_win_brl': 34.03, 'avg_loss_brl': -102.5, 'profit_factor': 5.9756, 'max_drawdown_pct': 1.13, 'expected_payoff': 26.84, 'on_tester_value': 900.704348}",COMPLETE
6,-983.0,2026-03-26 01:57:26.027748,2026-03-26 01:57:28.810859,0 days 00:00:02.783111,16,True,False,False,True,False,770,0.45000000000000007,855,2,4,0.37,1.0,0.45000000000000007,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 17, 'win_rate': 0.8235, 'net_profit_brl': 440.0, 'avg_profit_brl': 25.88, 'avg_win_brl': 63.93, 'avg_loss_brl': -151.67, 'profit_factor': 1.967, 'max_drawdown_pct': 3.17, 'expected_payoff': 25.88, 'on_tester_value': 138.701538}",COMPLETE
7,5449.276271,2026-03-26 01:57:28.810911,2026-03-26 01:57:31.731250,0 days 00:00:02.920339,38,True,False,True,True,True,660,0.25,880,4,6,0.31,0.55,0.35,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 588, 'win_rate': 0.7823, 'net_profit_brl': 10155.0, 'avg_profit_brl': 17.27, 'avg_win_brl': 40.26, 'avg_loss_brl': -65.87, 'profit_factor': 2.214, 'max_drawdown_pct': 1.86, 'expected_payoff': 17.27, 'on_tester_value': 5449.276271}",COMPLETE
8,5011.65,2026-03-26 01:57:31.731301,2026-03-26 01:57:34.553297,0 days 00:00:02.821996,28,True,True,True,True,False,590,0.5,715,11,4,0.30000000000000004,0.65,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 611, 'win_rate': 0.9738, 'net_profit_brl': 6290.0, 'avg_profit_brl': 10.29, 'avg_win_brl': 11.81, 'avg_loss_brl': -66.82, 'profit_factor': 9.5578, 'max_drawdown_pct': 1.26, 'expected_payoff': 10.29, 'on_tester_value': 5011.65}",COMPLETE
9,992.979433,2026-03-26 01:57:34.553365,2026-03-26 01:57:37.577180,0 days 00:00:03.023815,26,False,True,True,True,True,545,0.2,725,4,6,0.15000000000000002,1.35,0.6,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 4038, 'win_rate': 0.708, 'net_profit_brl': 25275.0, 'avg_profit_brl': 6.26, 'avg_win_brl': 65.71, 'avg_loss_brl': -139.8, 'profit_factor': 1.1555, 'max_drawdown_pct': 25.45, 'expected_payoff': 6.26, 'on_tester_value': 992.979433}",COMPLETE
