session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-04-06,2021-04-06 11:21:00,2021-04-06 11:22:00,2021-04-06 11:23:00,short,5635.0,5631.5,5644.0,5631.5,3.5,35.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:27:00,2021-04-06 11:28:00,2021-04-06 11:34:00,short,5632.5,5629.0,5641.5,5629.0,3.5,35.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:58:00,2021-04-06 12:03:00,2021-04-06 12:08:00,short,5627.5,5624.0,5636.5,5624.0,3.5,35.0,limit_touch,take_profit
2021-04-06,2021-04-06 12:20:00,2021-04-06 12:25:00,2021-04-06 12:29:00,short,5627.0,5623.5,5636.0,5623.5,3.5,35.0,limit_touch,take_profit
2021-04-09,2021-04-09 11:08:00,2021-04-09 11:08:00,2021-04-09 11:09:00,long,5648.0,5652.0,5638.0,5652.0,4.0,40.0,limit_touch,take_profit
2021-04-09,2021-04-09 12:45:00,2021-04-09 12:47:00,2021-04-09 12:51:00,long,5667.5,5658.0,5658.0,5671.0,-9.5,-95.0,limit_touch,stop_loss
2021-04-13,2021-04-13 12:43:00,2021-04-13 12:45:00,2021-04-13 12:52:00,short,5704.5,5700.5,5715.0,5700.5,4.0,40.0,limit_touch,take_profit
2021-04-13,2021-04-13 12:59:00,2021-04-13 13:10:00,2021-04-13 13:15:00,short,5704.0,5700.0,5714.5,5700.0,4.0,40.0,limit_touch,take_profit
2021-04-16,2021-04-16 10:24:00,2021-04-16 10:32:00,2021-04-16 10:37:00,long,5672.0,5675.5,5663.0,5675.5,3.5,35.0,limit_touch,take_profit
2021-04-16,2021-04-16 12:20:00,2021-04-16 12:23:00,2021-04-16 12:25:00,short,5610.0,5606.0,5620.0,5606.0,4.0,40.0,limit_touch,take_profit
2021-04-20,2021-04-20 10:19:00,2021-04-20 10:22:00,2021-04-20 10:42:00,short,5535.5,5546.0,5546.0,5531.5,-10.5,-105.0,limit_touch,stop_loss
2021-04-20,2021-04-20 11:39:00,2021-04-20 11:42:00,2021-04-20 11:44:00,short,5520.0,5516.0,5530.5,5516.0,4.0,40.0,limit_touch,take_profit
2021-04-23,2021-04-23 10:12:00,2021-04-23 10:12:00,2021-04-23 10:19:00,long,5460.0,5464.0,5450.0,5464.0,4.0,40.0,limit_touch,take_profit
2021-04-23,2021-04-23 10:21:00,2021-04-23 10:21:00,2021-04-23 10:23:00,long,5460.0,5464.0,5450.0,5464.0,4.0,40.0,limit_touch,take_profit
2021-04-23,2021-04-23 10:28:00,2021-04-23 10:29:00,2021-04-23 10:34:00,long,5466.5,5456.5,5456.5,5470.5,-10.0,-100.0,limit_touch,stop_loss
2021-04-23,2021-04-23 11:21:00,2021-04-23 11:23:00,2021-04-23 11:31:00,long,5479.5,5483.5,5469.5,5483.5,4.0,40.0,limit_touch,take_profit
2021-04-23,2021-04-23 12:39:00,2021-04-23 12:48:00,2021-04-23 12:55:00,long,5510.0,5500.0,5500.0,5514.0,-10.0,-100.0,limit_touch,stop_loss
2021-04-27,2021-04-27 10:29:00,2021-04-27 10:34:00,2021-04-27 10:37:00,long,5459.0,5450.5,5450.5,5462.5,-8.5,-85.0,limit_touch,stop_loss
2021-04-30,2021-04-30 10:11:00,2021-04-30 10:11:00,2021-04-30 10:22:00,long,5381.0,5384.5,5372.5,5384.5,3.5,35.0,limit_touch,take_profit
2021-04-30,2021-04-30 10:23:00,2021-04-30 10:23:00,2021-04-30 10:28:00,long,5382.0,5385.5,5373.5,5385.5,3.5,35.0,limit_touch,take_profit
2021-04-30,2021-04-30 10:50:00,2021-04-30 10:57:00,2021-04-30 11:01:00,long,5398.5,5402.0,5390.0,5402.0,3.5,35.0,limit_touch,take_profit
2021-04-30,2021-04-30 11:16:00,2021-04-30 11:32:00,2021-04-30 11:41:00,long,5415.0,5418.5,5406.5,5418.5,3.5,35.0,limit_touch,take_profit
2021-04-30,2021-04-30 12:30:00,2021-04-30 12:33:00,2021-04-30 12:50:00,long,5435.0,5438.5,5426.0,5438.5,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 10:20:00,2021-05-04 10:21:00,2021-05-04 10:27:00,short,5469.0,5465.5,5478.5,5465.5,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 10:28:00,2021-05-04 10:28:00,2021-05-04 10:31:00,short,5468.0,5464.5,5477.5,5464.5,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 10:33:00,2021-05-04 10:33:00,2021-05-04 10:34:00,short,5467.5,5464.0,5476.5,5464.0,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 10:35:00,2021-05-04 10:35:00,2021-05-04 10:36:00,short,5464.5,5461.0,5474.0,5461.0,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 10:45:00,2021-05-04 10:47:00,2021-05-04 10:53:00,short,5453.0,5449.5,5462.5,5449.5,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 11:03:00,2021-05-04 11:04:00,2021-05-04 11:06:00,short,5450.5,5447.0,5460.0,5447.0,3.5,35.0,limit_touch,take_profit
2021-05-04,2021-05-04 13:29:00,2021-05-04 13:34:00,2021-05-04 13:35:00,short,5436.0,5432.5,5445.5,5432.5,3.5,35.0,limit_touch,take_profit
2021-05-07,2021-05-07 11:59:00,2021-05-07 13:00:00,2021-05-07 13:36:00,short,5228.5,5237.5,5237.5,5225.0,-9.0,-90.0,limit_touch,stop_loss
2021-05-11,2021-05-11 10:15:00,2021-05-11 10:31:00,2021-05-11 10:36:00,long,5281.0,5273.0,5273.0,5284.0,-8.0,-80.0,limit_touch,stop_loss
2021-05-11,2021-05-11 12:25:00,2021-05-11 12:32:00,2021-05-11 12:34:00,short,5225.0,5221.5,5233.5,5221.5,3.5,35.0,limit_touch,take_profit
2021-05-14,2021-05-14 10:22:00,2021-05-14 10:23:00,2021-05-14 10:31:00,short,5276.5,5272.5,5287.0,5272.5,4.0,40.0,limit_touch,take_profit
2021-05-14,2021-05-14 10:37:00,2021-05-14 10:37:00,2021-05-14 10:37:00,short,5273.5,5269.5,5284.0,5269.5,4.0,40.0,limit_touch,take_profit
2021-05-14,2021-05-14 10:46:00,2021-05-14 10:49:00,2021-05-14 10:54:00,short,5271.5,5267.5,5281.5,5267.5,4.0,40.0,limit_touch,take_profit
2021-05-14,2021-05-14 10:57:00,2021-05-14 11:00:00,2021-05-14 11:33:00,short,5269.5,5280.0,5280.0,5265.5,-10.5,-105.0,limit_touch,stop_loss
2021-05-14,2021-05-14 12:32:00,2021-05-14 12:35:00,2021-05-14 12:46:00,short,5268.5,5264.5,5278.5,5264.5,4.0,40.0,limit_touch,take_profit
2021-05-14,2021-05-14 12:48:00,2021-05-14 12:49:00,2021-05-14 12:51:00,short,5266.0,5262.0,5276.0,5262.0,4.0,40.0,limit_touch,take_profit
2021-05-14,2021-05-14 13:25:00,2021-05-14 13:32:00,2021-05-14 13:48:00,short,5261.0,5271.0,5271.0,5257.0,-10.0,-100.0,limit_touch,stop_loss
2021-05-18,2021-05-18 10:57:00,2021-05-18 10:57:00,2021-05-18 10:58:00,long,5277.0,5280.0,5268.5,5280.0,3.0,30.0,limit_touch,take_profit
2021-05-18,2021-05-18 11:08:00,2021-05-18 11:09:00,2021-05-18 11:21:00,long,5281.0,5284.0,5272.5,5284.0,3.0,30.0,limit_touch,take_profit
2021-05-18,2021-05-18 12:56:00,2021-05-18 13:00:00,2021-05-18 13:04:00,short,5245.0,5253.5,5253.5,5241.5,-8.5,-85.0,limit_touch,stop_loss
2021-05-21,2021-05-21 11:16:00,2021-05-21 11:16:00,2021-05-21 11:34:00,long,5311.0,5304.0,5304.0,5313.5,-7.0,-70.0,limit_touch,stop_loss
2021-05-21,2021-05-21 11:40:00,2021-05-21 11:43:00,2021-05-21 11:57:00,long,5316.0,5319.0,5308.5,5319.0,3.0,30.0,limit_touch,take_profit
2021-05-21,2021-05-21 12:10:00,2021-05-21 12:14:00,2021-05-21 12:23:00,long,5316.5,5319.5,5309.0,5319.5,3.0,30.0,limit_touch,take_profit
2021-05-21,2021-05-21 12:37:00,2021-05-21 12:43:00,2021-05-21 12:55:00,long,5324.0,5327.0,5316.5,5327.0,3.0,30.0,limit_touch,take_profit
2021-05-25,2021-05-25 10:37:00,2021-05-25 10:37:00,2021-05-25 10:39:00,long,5319.0,5321.5,5313.0,5321.5,2.5,25.0,limit_touch,take_profit
2021-05-25,2021-05-25 10:58:00,2021-05-25 10:59:00,2021-05-25 11:02:00,long,5323.0,5325.5,5317.0,5325.5,2.5,25.0,limit_touch,take_profit_gap_open
2021-05-28,2021-05-28 10:20:00,2021-05-28 10:20:00,2021-05-28 10:32:00,short,5232.0,5229.5,5239.0,5229.5,2.5,25.0,limit_touch,take_profit
2021-05-28,2021-05-28 10:35:00,2021-05-28 10:36:00,2021-05-28 10:48:00,short,5231.5,5238.5,5238.5,5229.0,-7.0,-70.0,limit_touch,stop_loss
2021-05-28,2021-05-28 11:03:00,2021-05-28 11:04:00,2021-05-28 11:06:00,short,5230.5,5228.0,5237.5,5228.0,2.5,25.0,limit_touch,take_profit
2021-05-28,2021-05-28 11:25:00,2021-05-28 11:30:00,2021-05-28 11:32:00,short,5228.0,5225.5,5234.5,5225.5,2.5,25.0,limit_touch,take_profit
2021-05-28,2021-05-28 11:35:00,2021-05-28 11:37:00,2021-05-28 11:37:00,short,5227.5,5225.0,5234.0,5225.0,2.5,25.0,limit_touch,take_profit
2021-05-28,2021-05-28 12:34:00,2021-05-28 12:38:00,2021-05-28 12:49:00,short,5226.0,5223.5,5232.5,5223.5,2.5,25.0,limit_touch,take_profit
2021-05-28,2021-05-28 13:09:00,2021-05-28 13:22:00,2021-05-28 13:35:00,short,5224.0,5230.5,5230.5,5221.5,-6.5,-65.0,limit_touch,stop_loss
2021-06-01,2021-06-01 10:34:00,2021-06-01 10:43:00,2021-06-01 10:45:00,short,5170.0,5167.5,5176.5,5167.5,2.5,25.0,limit_touch,take_profit
2021-06-04,2021-06-04 10:27:00,2021-06-04 10:40:00,2021-06-04 10:41:00,short,5077.0,5074.0,5084.5,5074.0,3.0,30.0,limit_touch,take_profit
2021-06-04,2021-06-04 10:54:00,2021-06-04 11:00:00,2021-06-04 11:01:00,short,5075.5,5072.5,5083.0,5072.5,3.0,30.0,limit_touch,take_profit
2021-06-08,2021-06-08 10:12:00,2021-06-08 10:14:00,2021-06-08 10:28:00,long,5067.0,5069.5,5060.0,5069.5,2.5,25.0,limit_touch,take_profit
2021-06-08,2021-06-08 10:36:00,2021-06-08 10:37:00,2021-06-08 10:38:00,long,5068.5,5071.0,5061.5,5071.0,2.5,25.0,limit_touch,take_profit
2021-06-08,2021-06-08 10:53:00,2021-06-08 11:02:00,2021-06-08 11:10:00,long,5073.5,5066.5,5066.5,5076.0,-7.0,-70.0,limit_touch,stop_loss
2021-06-08,2021-06-08 12:20:00,2021-06-08 12:22:00,2021-06-08 12:22:00,short,5042.5,5040.0,5049.5,5040.0,2.5,25.0,limit_touch,take_profit
2021-06-08,2021-06-08 12:30:00,2021-06-08 12:47:00,2021-06-08 12:51:00,short,5040.5,5047.5,5047.5,5038.0,-7.0,-70.0,limit_touch,stop_loss
2021-06-11,2021-06-11 11:07:00,2021-06-11 11:10:00,2021-06-11 11:11:00,long,5115.0,5118.0,5107.5,5118.0,3.0,30.0,limit_touch,take_profit
2021-06-11,2021-06-11 11:22:00,2021-06-11 11:26:00,2021-06-11 11:26:00,long,5123.0,5126.0,5115.5,5126.0,3.0,30.0,limit_touch,take_profit
2021-06-11,2021-06-11 12:31:00,2021-06-11 12:46:00,2021-06-11 12:47:00,long,5134.5,5137.0,5127.5,5137.0,2.5,25.0,limit_touch,take_profit
2021-06-15,2021-06-15 10:33:00,2021-06-15 10:34:00,2021-06-15 10:38:00,long,5089.5,5083.5,5083.5,5091.5,-6.0,-60.0,limit_touch,stop_loss
2021-06-15,2021-06-15 10:48:00,2021-06-15 10:53:00,2021-06-15 10:54:00,long,5092.0,5094.5,5086.0,5094.5,2.5,25.0,limit_touch,take_profit
2021-06-15,2021-06-15 11:04:00,2021-06-15 11:05:00,2021-06-15 11:06:00,long,5094.5,5097.0,5088.5,5097.0,2.5,25.0,limit_touch,take_profit
2021-06-15,2021-06-15 11:16:00,2021-06-15 11:25:00,2021-06-15 11:34:00,long,5105.5,5099.5,5099.5,5108.0,-6.0,-60.0,limit_touch,stop_loss
2021-06-18,2021-06-18 10:20:00,2021-06-18 10:20:00,2021-06-18 10:23:00,short,5000.0,4997.0,5008.0,4997.0,3.0,30.0,limit_touch,take_profit
2021-06-18,2021-06-18 10:32:00,2021-06-18 10:35:00,2021-06-18 10:38:00,short,4995.0,5003.0,5003.0,4992.0,-8.0,-80.0,limit_touch,stop_loss
2021-06-18,2021-06-18 11:21:00,2021-06-18 11:35:00,2021-06-18 11:39:00,long,5051.5,5043.0,5043.0,5055.0,-8.5,-85.0,limit_touch,stop_loss
2021-06-22,2021-06-22 12:35:00,2021-06-22 12:37:00,2021-06-22 12:45:00,short,5013.5,5010.5,5021.0,5010.5,3.0,30.0,limit_touch,take_profit
2021-06-22,2021-06-22 12:52:00,2021-06-22 13:07:00,2021-06-22 13:14:00,short,5008.0,5005.0,5015.5,5005.0,3.0,30.0,limit_touch,take_profit
2021-06-22,2021-06-22 13:27:00,2021-06-22 13:29:00,2021-06-22 13:37:00,short,5003.5,5000.5,5011.0,5000.5,3.0,30.0,limit_touch,take_profit
2021-06-25,2021-06-25 12:05:00,2021-06-25 12:05:00,2021-06-25 12:07:00,long,4936.0,4939.0,4928.5,4939.0,3.0,30.0,limit_touch,take_profit
2021-06-25,2021-06-25 12:18:00,2021-06-25 12:20:00,2021-06-25 12:22:00,long,4939.5,4942.5,4932.5,4942.5,3.0,30.0,limit_touch,take_profit
2021-06-29,2021-06-29 11:02:00,2021-06-29 11:02:00,2021-06-29 11:04:00,long,4956.0,4958.5,4949.0,4958.5,2.5,25.0,limit_touch,take_profit
2021-06-29,2021-06-29 11:14:00,2021-06-29 11:14:00,2021-06-29 11:17:00,long,4959.0,4962.0,4952.0,4962.0,3.0,30.0,limit_touch,take_profit
2021-06-29,2021-06-29 11:22:00,2021-06-29 11:25:00,2021-06-29 11:33:00,long,4965.0,4957.5,4957.5,4968.0,-7.5,-75.0,limit_touch,stop_loss
2021-07-02,2021-07-02 11:11:00,2021-07-02 11:11:00,2021-07-02 11:12:00,long,5074.5,5078.0,5065.0,5078.0,3.5,35.0,limit_touch,take_profit
2021-07-06,2021-07-06 12:15:00,2021-07-06 12:31:00,2021-07-06 12:33:00,long,5200.0,5203.0,5192.0,5203.0,3.0,30.0,limit_touch,take_profit
2021-07-13,2021-07-13 11:18:00,2021-07-13 11:20:00,2021-07-13 11:34:00,short,5177.0,5186.5,5186.5,5173.5,-9.5,-95.0,limit_touch,stop_loss
2021-07-16,2021-07-16 10:48:00,2021-07-16 10:52:00,2021-07-16 10:52:00,long,5127.0,5130.5,5118.0,5130.5,3.5,35.0,limit_touch,take_profit
2021-07-16,2021-07-16 12:01:00,2021-07-16 12:02:00,2021-07-16 12:11:00,short,5091.5,5101.0,5101.0,5088.0,-9.5,-95.0,limit_touch,stop_loss
2021-07-20,2021-07-20 10:32:00,2021-07-20 10:37:00,2021-07-20 10:37:00,long,5291.5,5295.0,5282.5,5295.0,3.5,35.0,limit_touch,take_profit
2021-07-20,2021-07-20 11:23:00,2021-07-20 11:25:00,2021-07-20 11:28:00,short,5247.5,5244.0,5257.0,5244.0,3.5,35.0,limit_touch,take_profit
2021-07-20,2021-07-20 12:48:00,2021-07-20 12:51:00,2021-07-20 13:06:00,short,5223.5,5233.5,5233.5,5219.5,-10.0,-100.0,limit_touch,stop_loss
2021-07-23,2021-07-23 12:07:00,2021-07-23 12:09:00,2021-07-23 12:10:00,short,5169.0,5177.0,5177.0,5166.0,-8.0,-80.0,limit_touch,stop_loss
2021-07-27,2021-07-27 10:56:00,2021-07-27 10:58:00,2021-07-27 10:59:00,short,5171.0,5168.0,5179.0,5168.0,3.0,30.0,limit_touch,take_profit
2021-07-27,2021-07-27 11:04:00,2021-07-27 11:07:00,2021-07-27 11:15:00,short,5168.5,5165.5,5176.5,5165.5,3.0,30.0,limit_touch,take_profit
2021-07-27,2021-07-27 12:07:00,2021-07-27 12:08:00,2021-07-27 12:11:00,short,5164.0,5161.0,5172.0,5161.0,3.0,30.0,limit_touch,take_profit
2021-07-27,2021-07-27 12:16:00,2021-07-27 12:22:00,2021-07-27 12:24:00,short,5161.0,5158.0,5169.0,5158.0,3.0,30.0,limit_touch,take_profit
2021-07-30,2021-07-30 11:40:00,2021-07-30 11:42:00,2021-07-30 11:42:00,long,5149.0,5152.5,5140.5,5152.5,3.5,35.0,limit_touch,take_profit
2021-07-30,2021-07-30 11:45:00,2021-07-30 11:47:00,2021-07-30 11:48:00,long,5154.0,5157.5,5145.5,5157.5,3.5,35.0,limit_touch,take_profit
2021-07-30,2021-07-30 12:23:00,2021-07-30 12:53:00,2021-07-30 13:06:00,long,5164.0,5167.5,5155.0,5167.5,3.5,35.0,limit_touch,take_profit
2021-08-03,2021-08-03 10:12:00,2021-08-03 10:26:00,2021-08-03 10:35:00,long,5263.0,5267.0,5252.5,5267.0,4.0,40.0,limit_touch,take_profit
2021-08-03,2021-08-03 11:06:00,2021-08-03 11:20:00,2021-08-03 11:20:00,long,5276.0,5280.0,5265.0,5280.0,4.0,40.0,limit_touch,take_profit
2021-08-06,2021-08-06 10:30:00,2021-08-06 10:32:00,2021-08-06 10:36:00,short,5233.5,5245.0,5245.0,5229.0,-11.5,-115.0,limit_touch,stop_loss
2021-08-10,2021-08-10 10:17:00,2021-08-10 10:17:00,2021-08-10 10:20:00,short,5241.0,5237.0,5251.5,5237.0,4.0,40.0,limit_touch,take_profit
2021-08-10,2021-08-10 11:50:00,2021-08-10 11:53:00,2021-08-10 11:58:00,short,5239.0,5234.5,5250.0,5234.5,4.5,45.0,limit_touch,take_profit
2021-08-10,2021-08-10 11:59:00,2021-08-10 12:00:00,2021-08-10 12:06:00,short,5237.0,5232.5,5248.0,5232.5,4.5,45.0,limit_touch,take_profit
2021-08-10,2021-08-10 12:19:00,2021-08-10 12:22:00,2021-08-10 12:26:00,short,5230.0,5225.5,5241.0,5225.5,4.5,45.0,limit_touch,take_profit
2021-08-10,2021-08-10 12:58:00,2021-08-10 13:05:00,2021-08-10 13:25:00,short,5217.5,5213.5,5228.5,5213.5,4.0,40.0,limit_touch,take_profit
2021-08-13,2021-08-13 10:34:00,2021-08-13 10:34:00,2021-08-13 10:36:00,long,5273.0,5276.5,5264.5,5276.5,3.5,35.0,limit_touch,take_profit
2021-08-13,2021-08-13 10:44:00,2021-08-13 10:44:00,2021-08-13 10:45:00,long,5282.0,5285.5,5273.0,5285.5,3.5,35.0,limit_touch,take_profit
2021-08-13,2021-08-13 11:29:00,2021-08-13 11:32:00,2021-08-13 11:38:00,long,5285.5,5276.5,5276.5,5289.0,-9.0,-90.0,limit_touch,stop_loss
2021-08-13,2021-08-13 12:14:00,2021-08-13 12:17:00,2021-08-13 12:19:00,short,5248.5,5245.0,5258.0,5245.0,3.5,35.0,limit_touch,take_profit
2021-08-13,2021-08-13 12:28:00,2021-08-13 12:39:00,2021-08-13 12:41:00,short,5246.0,5242.5,5255.5,5242.5,3.5,35.0,limit_touch,take_profit
2021-08-17,2021-08-17 10:18:00,2021-08-17 10:19:00,2021-08-17 10:25:00,long,5302.5,5294.5,5294.5,5305.5,-8.0,-80.0,limit_touch,stop_loss
2021-08-17,2021-08-17 10:41:00,2021-08-17 10:41:00,2021-08-17 10:45:00,short,5266.5,5263.0,5275.0,5263.0,3.5,35.0,limit_touch,take_profit
2021-08-17,2021-08-17 11:08:00,2021-08-17 11:10:00,2021-08-17 11:14:00,short,5264.0,5260.5,5272.5,5260.5,3.5,35.0,limit_touch,take_profit
2021-08-17,2021-08-17 12:27:00,2021-08-17 12:30:00,2021-08-17 12:32:00,short,5256.0,5252.5,5265.0,5252.5,3.5,35.0,limit_touch,take_profit
2021-08-20,2021-08-20 11:37:00,2021-08-20 11:37:00,2021-08-20 11:38:00,short,5436.0,5431.5,5447.5,5431.5,4.5,45.0,limit_touch,take_profit
2021-08-20,2021-08-20 12:21:00,2021-08-20 12:38:00,2021-08-20 12:39:00,short,5414.0,5409.5,5425.5,5409.5,4.5,45.0,limit_touch,take_profit
2021-08-20,2021-08-20 13:05:00,2021-08-20 13:10:00,2021-08-20 13:11:00,short,5409.5,5405.0,5421.0,5405.0,4.5,45.0,limit_touch,take_profit
2021-08-24,2021-08-24 10:41:00,2021-08-24 10:43:00,2021-08-24 10:49:00,short,5333.5,5330.0,5343.0,5330.0,3.5,35.0,limit_touch,take_profit
2021-08-24,2021-08-24 12:13:00,2021-08-24 12:56:00,2021-08-24 12:57:00,short,5283.0,5279.5,5292.5,5279.5,3.5,35.0,better_open,take_profit
2021-08-27,2021-08-27 10:55:00,2021-08-27 10:56:00,2021-08-27 11:00:00,short,5232.0,5239.5,5239.5,5229.0,-7.5,-75.0,limit_touch,stop_loss
2021-08-27,2021-08-27 11:01:00,2021-08-27 11:01:00,2021-08-27 11:02:00,short,5226.0,5223.0,5234.0,5223.0,3.0,30.0,limit_touch,take_profit
2021-08-27,2021-08-27 11:14:00,2021-08-27 11:14:00,2021-08-27 11:15:00,short,5221.0,5218.0,5229.0,5218.0,3.0,30.0,limit_touch,take_profit
2021-08-27,2021-08-27 11:17:00,2021-08-27 11:20:00,2021-08-27 11:21:00,short,5219.0,5227.0,5227.0,5216.0,-8.0,-80.0,limit_touch,stop_loss
2021-08-27,2021-08-27 12:02:00,2021-08-27 12:11:00,2021-08-27 12:14:00,short,5215.5,5212.5,5223.5,5212.5,3.0,30.0,limit_touch,take_profit
2021-08-27,2021-08-27 12:50:00,2021-08-27 13:05:00,2021-08-27 13:33:00,short,5204.5,5201.5,5212.5,5201.5,3.0,30.0,limit_touch,take_profit
2021-08-31,2021-08-31 10:28:00,2021-08-31 10:30:00,2021-08-31 10:31:00,short,5185.5,5183.0,5192.5,5183.0,2.5,25.0,limit_touch,take_profit
2021-08-31,2021-08-31 10:41:00,2021-08-31 10:46:00,2021-08-31 10:48:00,short,5174.0,5171.5,5181.0,5171.5,2.5,25.0,limit_touch,take_profit
2021-08-31,2021-08-31 11:05:00,2021-08-31 11:05:00,2021-08-31 11:08:00,short,5168.5,5175.5,5175.5,5165.5,-7.0,-70.0,limit_touch,stop_loss
2021-08-31,2021-08-31 11:23:00,2021-08-31 11:25:00,2021-08-31 11:26:00,short,5165.5,5162.5,5173.0,5162.5,3.0,30.0,limit_touch,take_profit
2021-08-31,2021-08-31 12:00:00,2021-08-31 12:29:00,2021-08-31 12:30:00,short,5151.0,5148.0,5158.5,5148.0,3.0,30.0,limit_touch,take_profit
2021-09-03,2021-09-03 10:22:00,2021-09-03 10:26:00,2021-09-03 10:27:00,long,5187.0,5190.0,5178.5,5190.0,3.0,30.0,limit_touch,take_profit
