session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-03-30,2021-03-30 12:15:00,2021-03-30 12:15:00,2021-03-30 12:19:00,short,5756.0,5745.0,5779.0,5745.0,11.0,110.0,limit_touch,take_profit
2021-03-30,2021-03-30 12:34:00,2021-03-30 12:38:00,2021-03-30 15:08:00,short,5743.0,5732.0,5766.5,5732.0,11.0,110.0,limit_touch,take_profit
2021-04-06,2021-04-06 11:58:00,2021-04-06 12:00:00,2021-04-06 13:04:00,short,5624.5,5615.5,5644.0,5615.5,9.0,90.0,limit_touch,take_profit
2021-04-12,2021-04-12 12:09:00,2021-04-12 12:09:00,2021-04-12 12:13:00,long,5681.0,5690.0,5661.5,5690.0,9.0,90.0,limit_touch,take_profit
2021-04-12,2021-04-12 12:18:00,2021-04-12 12:19:00,2021-04-12 12:35:00,long,5700.5,5709.5,5680.5,5709.5,9.0,90.0,limit_touch,take_profit
2021-04-12,2021-04-12 12:36:00,2021-04-12 12:39:00,2021-04-12 13:29:00,long,5701.5,5710.5,5681.5,5710.5,9.0,90.0,limit_touch,take_profit
2021-04-13,2021-04-13 12:43:00,2021-04-13 12:44:00,2021-04-13 14:03:00,short,5701.0,5690.5,5723.5,5690.5,10.5,105.0,limit_touch,take_profit
2021-04-19,2021-04-19 11:44:00,2021-04-19 11:48:00,2021-04-19 13:37:00,short,5554.0,5577.0,5577.0,5543.5,-23.0,-230.0,limit_touch,stop_loss
2021-05-03,2021-05-03 12:38:00,2021-05-03 12:45:00,2021-05-03 13:31:00,short,5395.5,5416.5,5416.5,5385.5,-21.0,-210.0,limit_touch,stop_loss
2021-05-11,2021-05-11 12:25:00,2021-05-11 12:27:00,2021-05-11 14:38:00,short,5221.0,5239.5,5239.5,5212.5,-18.5,-185.0,limit_touch,stop_loss
2021-05-17,2021-05-17 11:47:00,2021-05-17 11:47:00,2021-05-17 11:52:00,short,5281.0,5272.0,5300.5,5272.0,9.0,90.0,limit_touch,take_profit
2021-05-17,2021-05-17 12:01:00,2021-05-17 12:01:00,2021-05-17 14:02:00,short,5265.0,5255.5,5285.0,5255.5,9.5,95.0,limit_touch,take_profit
2021-05-18,2021-05-18 12:46:00,2021-05-18 12:46:00,2021-05-18 13:19:00,short,5244.0,5262.0,5262.0,5235.5,-18.0,-180.0,limit_touch,stop_loss
2021-05-24,2021-05-24 12:10:00,2021-05-24 12:14:00,2021-05-24 17:58:00,short,5321.0,5323.0,5336.0,5314.0,-2.0,-20.0,limit_touch,time_cutoff
2021-05-31,2021-05-31 11:40:00,2021-05-31 11:44:00,2021-05-31 11:56:00,long,5255.0,5261.0,5241.5,5261.0,6.0,60.0,limit_touch,take_profit
2021-05-31,2021-05-31 11:58:00,2021-05-31 11:59:00,2021-05-31 12:07:00,long,5262.5,5269.0,5249.0,5269.0,6.5,65.0,limit_touch,take_profit
2021-05-31,2021-05-31 12:26:00,2021-05-31 12:26:00,2021-05-31 13:35:00,long,5270.0,5276.5,5256.5,5276.5,6.5,65.0,limit_touch,take_profit
2021-06-07,2021-06-07 13:03:00,2021-06-07 13:05:00,2021-06-07 13:35:00,short,5035.5,5051.0,5051.0,5028.5,-15.5,-155.0,limit_touch,stop_gap_open
