session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2026-01-02,2026-01-02 10:00:00,2026-01-02 10:09:00,2026-01-02 10:33:00,short,5477.5,5474.5,5484.5,5474.5,3.0,30.0,limit_touch,take_profit
2026-01-02,2026-01-02 10:55:00,2026-01-02 10:58:00,2026-01-02 11:14:00,short,5471.0,5467.5,5478.5,5467.5,3.5,35.0,limit_touch,take_profit
2026-01-02,2026-01-02 11:25:00,2026-01-02 11:33:00,2026-01-02 11:39:00,short,5470.0,5477.5,5477.5,5466.5,-7.5,-75.0,limit_touch,stop_loss
2026-01-05,2026-01-05 10:08:00,2026-01-05 10:09:00,2026-01-05 10:13:00,long,5479.5,5482.5,5473.0,5482.5,3.0,30.0,limit_touch,take_profit
2026-01-05,2026-01-05 10:24:00,2026-01-05 10:43:00,2026-01-05 10:47:00,long,5481.0,5484.0,5474.5,5484.0,3.0,30.0,limit_touch,take_profit
2026-01-05,2026-01-05 12:29:00,2026-01-05 12:36:00,2026-01-05 12:38:00,short,5461.0,5457.5,5468.0,5457.5,3.5,35.0,limit_touch,take_profit
2026-01-06,2026-01-06 10:17:00,2026-01-06 10:29:00,2026-01-06 10:35:00,short,5428.0,5425.5,5434.0,5425.5,2.5,25.0,limit_touch,take_profit
2026-01-06,2026-01-06 11:52:00,2026-01-06 12:23:00,2026-01-06 12:31:00,short,5411.0,5417.5,5417.5,5408.0,-6.5,-65.0,limit_touch,stop_loss
2026-01-07,2026-01-07 10:07:00,2026-01-07 10:15:00,2026-01-07 10:15:00,long,5418.0,5420.5,5412.5,5420.5,2.5,25.0,limit_touch,take_profit
2026-01-07,2026-01-07 11:38:00,2026-01-07 11:45:00,2026-01-07 11:53:00,long,5424.5,5427.5,5418.5,5427.5,3.0,30.0,limit_touch,take_profit
2026-01-07,2026-01-07 12:19:00,2026-01-07 12:21:00,2026-01-07 12:24:00,long,5426.0,5429.0,5419.5,5429.0,3.0,30.0,better_open,take_profit
2026-01-08,2026-01-08 10:04:00,2026-01-08 10:06:00,2026-01-08 10:16:00,short,5412.0,5410.0,5417.0,5410.0,2.0,20.0,limit_touch,take_profit
2026-01-08,2026-01-08 11:16:00,2026-01-08 11:18:00,2026-01-08 11:21:00,long,5423.0,5425.5,5418.0,5425.5,2.5,25.0,limit_touch,take_profit
2026-01-09,2026-01-09 10:30:00,2026-01-09 10:30:00,2026-01-09 10:30:00,short,5405.0,5409.5,5409.5,5403.0,-4.5,-45.0,limit_touch,stop_loss
2026-01-09,2026-01-09 10:33:00,2026-01-09 10:33:00,2026-01-09 10:34:00,short,5399.5,5397.0,5405.0,5397.0,2.5,25.0,limit_touch,take_profit
2026-01-09,2026-01-09 10:44:00,2026-01-09 10:50:00,2026-01-09 10:52:00,short,5395.0,5392.5,5401.0,5392.5,2.5,25.0,limit_touch,take_profit
2026-01-09,2026-01-09 13:11:00,2026-01-09 14:54:00,2026-01-09 16:06:00,short,5393.0,5399.0,5399.0,5390.0,-6.0,-60.0,limit_touch,stop_loss
2026-01-12,2026-01-12 10:02:00,2026-01-12 10:07:00,2026-01-12 10:08:00,long,5403.0,5405.5,5397.0,5405.5,2.5,25.0,limit_touch,take_profit
2026-01-12,2026-01-12 11:06:00,2026-01-12 11:11:00,2026-01-12 11:23:00,long,5404.0,5397.5,5397.5,5407.0,-6.5,-65.0,limit_touch,stop_loss
