session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2026-02-05,2026-02-05 11:24:00,2026-02-05 11:32:00,2026-02-05 11:35:00,short,5273.5,5271.0,5281.0,5271.0,2.5,25.0,limit_touch,take_profit
2026-02-05,2026-02-05 12:48:00,2026-02-05 12:53:00,2026-02-05 13:05:00,long,5300.5,5303.5,5291.5,5303.5,3.0,30.0,limit_touch,take_profit
2026-02-06,2026-02-06 10:01:00,2026-02-06 10:03:00,2026-02-06 10:04:00,long,5271.0,5262.5,5262.5,5274.0,-8.5,-85.0,limit_touch,stop_loss
2026-02-06,2026-02-06 11:33:00,2026-02-06 11:52:00,2026-02-06 12:02:00,short,5245.0,5254.0,5254.0,5241.5,-9.0,-90.0,limit_touch,stop_loss
2026-02-09,2026-02-09 10:08:00,2026-02-09 10:15:00,2026-02-09 10:17:00,short,5217.5,5215.0,5225.0,5215.0,2.5,25.0,limit_touch,take_profit
2026-02-09,2026-02-09 11:45:00,2026-02-09 11:50:00,2026-02-09 11:56:00,short,5214.5,5211.5,5222.0,5211.5,3.0,30.0,limit_touch,take_profit
2026-02-10,2026-02-10 10:11:00,2026-02-10 10:14:00,2026-02-10 10:21:00,long,5223.5,5225.5,5217.0,5225.5,2.0,20.0,limit_touch,take_profit
2026-02-10,2026-02-10 11:34:00,2026-02-10 11:35:00,2026-02-10 11:42:00,short,5208.5,5215.0,5215.0,5206.0,-6.5,-65.0,limit_touch,stop_loss
2026-02-10,2026-02-10 12:17:00,2026-02-10 12:19:00,2026-02-10 12:25:00,long,5224.0,5226.5,5217.0,5226.5,2.5,25.0,limit_touch,take_profit
2026-02-11,2026-02-11 10:10:00,2026-02-11 10:11:00,2026-02-11 10:30:00,long,5205.0,5207.0,5199.0,5207.0,2.0,20.0,limit_touch,take_profit
2026-02-12,2026-02-12 10:38:00,2026-02-12 10:41:00,2026-02-12 10:57:00,short,5188.0,5186.0,5194.0,5186.0,2.0,20.0,limit_touch,take_profit
2026-02-12,2026-02-12 11:13:00,2026-02-12 11:23:00,2026-02-12 11:24:00,short,5181.0,5179.0,5187.0,5179.0,2.0,20.0,limit_touch,take_profit
2026-02-12,2026-02-12 12:16:00,2026-02-12 12:26:00,2026-02-12 12:31:00,short,5178.5,5184.5,5184.5,5176.5,-6.0,-60.0,limit_touch,stop_loss
