session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason,direction_sign,signal_bar_time,trade_seq_day,signal_ret_5_raw,signal_ret_15_raw,signal_ret_30_raw,signal_open_impulse_raw,signal_realized_abs_15,signal_semivar_bias_15,signal_trend_efficiency_15,signal_signal_range,signal_range_vs_filter,signal_cum_volume_prev,signal_cum_volume_rel,signal_dir_ret_15,signal_dir_ret_30,signal_open_impulse,signal_dir_trend_efficiency_15,signal_semivar_align,strength_score
2021-03-30,2021-03-30 11:38:00,2021-03-30 11:38:00,2021-03-30 11:38:00,long,5792.5,5798.5,5779.0,5798.5,6.0,60.0,limit_touch,take_profit,1.0,2021-03-30 11:38:00,1,24.0,27.0,23.0,9.0,43.0,0.796976241900648,0.627906976744186,29.07,1.6167870657034744,458495.0,,27.0,23.0,9.0,0.627906976744186,0.796976241900648,0.5818266666666666
2021-03-30,2021-03-30 12:40:00,2021-03-30 13:27:00,2021-03-30 14:00:00,short,5752.5,5746.0,5766.5,5746.0,6.5,65.0,limit_touch,take_profit,-1.0,2021-03-30 12:40:00,2,-3.0,-15.0,-20.5,-45.5,31.0,-0.47417840375586856,-0.4838709677419355,29.07,2.3735810113519094,654615.0,,15.0,20.5,45.5,0.4838709677419355,0.47417840375586856,0.6889733333333333
2021-03-31,2021-03-31 11:59:00,2021-03-31 13:35:00,2021-03-31 13:45:00,short,5677.0,5691.0,5691.0,5670.5,-14.0,-140.0,limit_touch,stop_loss,-1.0,2021-03-31 11:59:00,1,-14.0,-30.0,-46.0,-121.5,36.0,-0.910958904109589,-0.8333333333333334,28.325,4.766107678729038,542318.0,,30.0,46.0,121.5,0.8333333333333334,0.910958904109589,0.9086533333333333
2021-04-01,2021-04-01 10:57:00,2021-04-01 11:11:00,2021-04-01 11:16:00,long,5691.5,5698.0,5677.5,5698.0,6.5,65.0,limit_touch,take_profit,1.0,2021-04-01 10:57:00,1,1.5,20.5,30.5,73.5,45.5,0.6832779623477298,0.45054945054945056,30.599999999999998,3.2679738562091507,387091.0,,20.5,30.5,73.5,0.45054945054945056,0.6832779623477298,0.7773466666666666
2021-04-05,2021-04-05 10:18:00,2021-04-05 10:19:00,2021-04-05 10:20:00,short,5660.5,5654.5,5673.0,5654.5,6.0,60.0,limit_touch,take_profit,-1.0,2021-04-05 10:18:00,1,-10.5,-28.5,-25.0,-23.5,44.5,-0.7689530685920578,-0.6404494382022472,30.599999999999998,1.388888888888889,257584.0,,28.5,25.0,23.5,0.6404494382022472,0.7689530685920578,0.6628933333333333
2021-04-05,2021-04-05 10:24:00,2021-04-05 10:33:00,2021-04-05 10:53:00,short,5657.0,5651.0,5669.5,5651.0,6.0,60.0,limit_touch,take_profit,-1.0,2021-04-05 10:24:00,2,-5.0,-33.5,-37.5,-30.0,53.5,-0.6866734486266531,-0.6261682242990654,30.599999999999998,1.5522875816993464,283053.0,,33.5,37.5,30.0,0.6261682242990654,0.6866734486266531,0.7112133333333333
2021-04-05,2021-04-05 11:16:00,2021-04-05 11:22:00,2021-04-05 11:50:00,short,5654.5,5666.5,5666.5,5649.0,-12.0,-120.0,limit_touch,stop_loss,-1.0,2021-04-05 11:16:00,3,-7.0,-8.0,-10.0,-29.0,20.0,-0.5789473684210527,-0.4,30.599999999999998,1.650326797385621,387274.0,,8.0,10.0,29.0,0.4,0.5789473684210527,0.45609333333333335
2021-04-06,2021-04-06 13:28:00,2021-04-06 14:01:00,2021-04-06 14:24:00,short,5622.5,5632.0,5632.0,5618.0,-9.5,-95.0,limit_touch,stop_loss,-1.0,2021-04-06 13:28:00,1,-6.5,-6.5,-17.5,-68.0,24.5,-0.5679442508710801,-0.2653061224489796,30.599999999999998,2.4346405228758172,641068.0,,6.5,17.5,68.0,0.2653061224489796,0.5679442508710801,0.51876
2021-04-07,2021-04-07 10:31:00,2021-04-07 10:31:00,2021-04-07 10:31:00,short,5585.0,5580.0,5596.0,5580.0,5.0,50.0,limit_touch,take_profit,-1.0,2021-04-07 10:31:00,1,-7.5,-3.5,-22.0,-13.0,32.5,-0.04559270516717325,-0.1076923076923077,30.599999999999998,1.2745098039215688,333281.0,,3.5,22.0,13.0,0.1076923076923077,0.04559270516717325,0.193
2021-04-07,2021-04-07 10:35:00,2021-04-07 10:39:00,2021-04-07 10:44:00,short,5584.0,5595.0,5595.0,5579.0,-11.0,-110.0,limit_touch,stop_loss,-1.0,2021-04-07 10:35:00,2,-7.5,-14.0,-26.5,-19.0,31.0,-0.4695121951219512,-0.45161290322580644,30.599999999999998,1.3071895424836601,353138.0,,14.0,26.5,19.0,0.45161290322580644,0.4695121951219512,0.48884
