kept_trades,removed_trades,removed_net_profit_brl,all_trades,all_net_profit_brl,all_avg_profit_brl,all_profit_factor,all_win_rate,all_max_drawdown_pct,train_trades,train_net_profit_brl,train_avg_profit_brl,train_profit_factor,train_win_rate,train_max_drawdown_pct,test_trades,test_net_profit_brl,test_avg_profit_brl,test_profit_factor,test_win_rate,test_max_drawdown_pct,name,column,threshold,side,test_pf_delta,test_avg_delta
1786,893,3930.0,1786,10185.0,5.702687569988802,1.2347315049550587,0.7262038073908175,9.24071082390953,1262,6220.0,4.928684627575278,1.1891727493917275,0.7179080824088748,9.24071082390953,524,3965.0,7.566793893129771,1.3772597526165558,0.7461832061068703,5.987355894384529,all_trend_efficiency_ge_0.333333,signal_dir_trend_efficiency_15,0.333333,all,0.16143860042395053,2.8839580722342486
2273,406,-110.0,2273,14225.0,6.258249010118786,1.267085993240706,0.7298724153101628,8.323598130841122,1581,9695.0,6.132194813409234,1.2478271983640081,0.7267552182163188,8.323598130841122,692,4530.0,6.546242774566474,1.3203677510608203,0.7369942196531792,5.999325918436131,benchmark_skip_long_seq2,,,,0.10454659886821505,1.8634069536709523
1309,1370,5220.0,1309,8895.0,6.795263559969443,1.257975638051044,0.7318563789152025,7.557063541024059,949,6430.0,6.775553213909379,1.246454580298965,0.7291886195995785,7.557063541024059,360,2465.0,6.847222222222222,1.2938021454112039,0.7388888888888889,6.055776892430279,all_dir_ret_15_ge_10.5,signal_dir_ret_15,10.5,all,0.07798099321859864,2.1643864013267002
2247,432,1450.0,2247,12665.0,5.63640409434802,1.2336069353499954,0.7254116599910992,8.895348837209301,1566,8610.0,5.498084291187739,1.2156543519098308,0.722860791826309,8.895348837209301,681,4055.0,5.954478707782672,1.2837648705388383,0.7312775330396476,6.121700879765396,long_only_trend_efficiency_ge_0.333333,signal_dir_trend_efficiency_15,0.333333,long,0.06794371834623303,1.2716428868871503
905,1774,6580.0,905,7535.0,8.32596685082873,1.3123316062176167,0.7392265193370166,6.323257248611967,689,6030.0,8.751814223512337,1.322287546766435,0.7387518142235123,6.323257248611967,216,1505.0,6.967592592592593,1.2779316712834718,0.7407407407407407,4.873563218390804,all_dir_ret_15_ge_13.5,signal_dir_ret_15,13.5,all,0.06211051909086662,2.2847567716970705
1834,845,2650.0,1834,11465.0,6.251363140676117,1.2519780219780219,0.7273718647764449,5.534246575342466,1284,8145.0,6.343457943925234,1.2430255109652395,0.7258566978193146,5.534246575342466,550,3320.0,6.036363636363636,1.2770129328327076,0.730909090909091,6.451612903225806,long_only_dir_ret_15_ge_13,signal_dir_ret_15,13.0,long,0.06119178064010233,1.353527815468114
1804,875,4185.0,1804,9930.0,5.504434589800444,1.2187947559766443,0.7239467849223947,8.749580958766343,1270,6735.0,5.303149606299213,1.1995259961487188,0.721259842519685,8.749580958766343,534,3195.0,5.98314606741573,1.2747205503009458,0.7303370786516854,9.12901723334886,long_only_open_impulse_ge_31.5,signal_open_impulse,31.5,long,0.05889939810834055,1.3003102465202083
2021,658,2090.0,2021,12025.0,5.95002474022761,1.2395895596732416,0.7278574962889659,8.349844324936315,1416,8425.0,5.949858757062147,1.2274568034557236,0.7259887005649718,8.349844324936315,605,3600.0,5.950413223140496,1.273764258555133,0.7322314049586777,6.0402684563758395,long_only_dir_ret_15_ge_10,signal_dir_ret_15,10.0,long,0.05794310636252775,1.2675774022449735
945,1734,8035.0,945,6080.0,6.4338624338624335,1.2629757785467128,0.7301587301587301,5.480453050785532,660,4385.0,6.643939393939394,1.2596979567663606,0.7303030303030303,5.480453050785532,285,1695.0,5.947368421052632,1.2718524458700882,0.7298245614035088,5.07910074937552,all_trend_efficiency_ge_0.5,signal_dir_trend_efficiency_15,0.5,all,0.05603129367748294,1.2645326001571098
1682,997,4055.0,1682,10060.0,5.980975029726516,1.2285065303804656,0.7271105826397146,7.210327455919395,1219,7205.0,5.910582444626743,1.2173781867551667,0.7251845775225595,7.210327455919395,463,2855.0,6.166306695464363,1.2624080882352942,0.7321814254859611,9.331538806639749,all_strength_score_ge_0.420253,strength_score,0.420253,all,0.04658693604268893,1.483470874568841
2175,504,1870.0,2175,12245.0,5.629885057471264,1.2273486817675454,0.7268965517241379,8.864182692307693,1541,8630.0,5.600259571706684,1.2163178343150771,0.7242050616482804,8.864182692307693,634,3615.0,5.701892744479495,1.2588614393125672,0.7334384858044164,8.969210174029453,all_dir_ret_15_ge_5,signal_dir_ret_15,5.0,all,0.043040287119961995,1.0190569235839728
2004,675,4100.0,2004,10015.0,4.99750499001996,1.196951819075713,0.720558882235529,9.293193717277488,1408,6680.0,4.744318181818182,1.1768599417527137,0.7166193181818182,9.293193717277488,596,3335.0,5.595637583892618,1.2549694189602447,0.7298657718120806,9.892673821745216,long_only_open_impulse_ge_24.5,signal_open_impulse,24.5,long,0.039148266767639495,0.9128017629970957
1763,916,3965.0,1763,10150.0,5.75723199092456,1.224111282843895,0.7260351673284174,7.991742848717193,1259,7265.0,5.770452740270056,1.2147184867740506,0.7227958697378872,7.991742848717193,504,2885.0,5.724206349206349,1.25185508511567,0.7341269841269841,7.734056987788331,all_dir_ret_15_ge_7.5,signal_dir_ret_15,7.5,all,0.03603393292306478,1.0413705283108268
2213,466,2025.0,2213,12090.0,5.463172164482603,1.2206204379562045,0.7234523271577045,8.426163953156241,1548,8555.0,5.526485788113695,1.2126522495650012,0.7222222222222222,8.426163953156241,665,3535.0,5.315789473684211,1.2426218256691832,0.7263157894736842,6.871609403254973,long_only_dir_ret_15_ge_7.5,signal_dir_ret_15,7.5,long,0.026800673476577996,0.6329536527886885
1783,896,3025.0,1783,11090.0,6.219854178351094,1.2521314084346937,0.7274256870443073,6.7687595712098005,1256,8220.0,6.544585987261146,1.2557560672059738,0.7269108280254777,6.7687595712098005,527,2870.0,5.445920303605313,1.2422963275643732,0.7286527514231499,8.24406148113647,long_only_cum_volume_rel_ge_1.03785,signal_cum_volume_rel,1.037846,long,0.026475175371768023,0.7630844827097913
