name,fold,start_date,end_date,trades,net_profit_brl,avg_profit_brl,profit_factor,win_rate,max_drawdown_pct
baseline,1,2021-03-23,2022-01-20,505,3680.0,7.287128712871287,1.2612708555200567,0.7306930693069307,6.417785234899329
baseline,2,2022-01-21,2022-11-21,453,3985.0,8.79690949227373,1.3009818731117824,0.739514348785872,11.559322033898304
baseline,3,2022-11-22,2023-09-19,419,1935.0,4.6181384248210025,1.1935967983991995,0.7279236276849642,4.650070455612964
baseline,4,2023-09-20,2024-07-22,436,690.0,1.5825688073394495,1.0872865275142316,0.6995412844036697,6.894841269841271
baseline,5,2024-07-23,2025-05-23,402,2875.0,7.151741293532338,1.2883650952858576,0.7388059701492538,8.082622361921867
baseline,6,2025-05-26,2026-03-20,464,950.0,2.0474137931034484,1.1017675415104446,0.7068965517241379,6.361556064073226
all_trend_efficiency_ge_0.333333,1,2021-03-23,2022-01-20,396,2550.0,6.4393939393939394,1.2247686205376818,0.7222222222222222,5.370524562864279
all_trend_efficiency_ge_0.333333,2,2022-01-21,2022-11-21,371,2410.0,6.495956873315364,1.2083873757025507,0.7250673854447439,10.702087286527515
all_trend_efficiency_ge_0.333333,3,2022-11-22,2023-09-19,311,1660.0,5.337620578778135,1.2263122017723245,0.7331189710610932,6.341694273544723
all_trend_efficiency_ge_0.333333,4,2023-09-20,2024-07-22,327,30.0,0.09174311926605505,1.0047430830039525,0.6880733944954128,8.400402414486921
all_trend_efficiency_ge_0.333333,5,2024-07-23,2025-05-23,323,4015.0,12.430340557275542,1.5878477306002927,0.7739938080495357,3.052683407188577
all_trend_efficiency_ge_0.333333,6,2025-05-26,2026-03-20,346,780.0,2.254335260115607,1.109704641350211,0.7109826589595376,5.57361820715281
all_dir_ret_15_ge_10.5,1,2021-03-23,2022-01-20,346,2755.0,7.96242774566474,1.2806928171166583,0.7312138728323699,6.333892617449664
all_dir_ret_15_ge_10.5,2,2022-01-21,2022-11-21,359,3620.0,10.083565459610028,1.3467432950191571,0.7465181058495822,8.428571428571429
all_dir_ret_15_ge_10.5,3,2022-11-22,2023-09-19,235,840.0,3.574468085106383,1.1361426256077796,0.7191489361702128,8.767772511848342
all_dir_ret_15_ge_10.5,4,2023-09-20,2024-07-22,170,5.0,0.029411764705882353,1.0013679890560876,0.6882352941176471,4.627766599597585
all_dir_ret_15_ge_10.5,5,2024-07-23,2025-05-23,272,2535.0,9.319852941176471,1.3758339510748703,0.7463235294117647,3.8510911424903727
all_dir_ret_15_ge_10.5,6,2025-05-26,2026-03-20,224,-530.0,-2.3660714285714284,0.9078260869565218,0.6651785714285714,11.427145708582835
long_only_trend_efficiency_ge_0.333333,1,2021-03-23,2022-01-20,444,2940.0,6.621621621621622,1.2317698068584944,0.7252252252252253,5.929352396972246
long_only_trend_efficiency_ge_0.333333,2,2022-01-21,2022-11-21,415,3755.0,9.048192771084338,1.3079130791307914,0.7397590361445783,10.665737190658767
long_only_trend_efficiency_ge_0.333333,3,2022-11-22,2023-09-19,369,2065.0,5.596205962059621,1.2406759906759908,0.7344173441734417,4.499072356215214
long_only_trend_efficiency_ge_0.333333,4,2023-09-20,2024-07-22,376,505.0,1.3430851063829787,1.0734545454545454,0.699468085106383,6.872509960159362
long_only_trend_efficiency_ge_0.333333,5,2024-07-23,2025-05-23,371,3845.0,10.36388140161725,1.456379821958457,0.7601078167115903,3.9725355566454144
long_only_trend_efficiency_ge_0.333333,6,2025-05-26,2026-03-20,411,665.0,1.6180048661800486,1.078744819419775,0.7031630170316302,6.477166821994408
all_dir_ret_15_ge_13.5,1,2021-03-23,2022-01-20,277,2845.0,10.270758122743683,1.3775713337757134,0.7436823104693141,4.7417116422513494
all_dir_ret_15_ge_13.5,2,2022-01-21,2022-11-21,304,4035.0,13.273026315789474,1.4849759615384615,0.7631578947368421,5.445366029570862
all_dir_ret_15_ge_13.5,3,2022-11-22,2023-09-19,172,485.0,2.8197674418604652,1.1011470281543274,0.7151162790697675,9.995329285380663
all_dir_ret_15_ge_13.5,4,2023-09-20,2024-07-22,97,-345.0,-3.556701030927835,0.8568464730290456,0.6597938144329897,4.52286282306163
all_dir_ret_15_ge_13.5,5,2024-07-23,2025-05-23,202,2505.0,12.400990099009901,1.5127942681678608,0.7673267326732673,3.896103896103896
all_dir_ret_15_ge_13.5,6,2025-05-26,2026-03-20,134,-115.0,-0.8582089552238806,0.9667630057803468,0.6791044776119403,8.228460793804453
long_only_dir_ret_15_ge_13,1,2021-03-23,2022-01-20,387,3195.0,8.255813953488373,1.295286506469501,0.7364341085271318,5.232314776056928
long_only_dir_ret_15_ge_13,2,2022-01-21,2022-11-21,392,4480.0,11.428571428571429,1.4074579354251933,0.7551020408163265,6.845545235638115
long_only_dir_ret_15_ge_13,3,2022-11-22,2023-09-19,298,865.0,2.902684563758389,1.1116849580374435,0.7114093959731543,5.378858746492049
long_only_dir_ret_15_ge_13,4,2023-09-20,2024-07-22,248,-185.0,-0.7459677419354839,0.9631474103585658,0.6774193548387096,7.071713147410359
long_only_dir_ret_15_ge_13,5,2024-07-23,2025-05-23,319,3055.0,9.576802507836991,1.3967532467532469,0.7492163009404389,4.785112981834294
long_only_dir_ret_15_ge_13,6,2025-05-26,2026-03-20,314,495.0,1.5764331210191083,1.0743801652892562,0.7006369426751592,9.686346863468636
