session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-09-05,2022-09-05 09:50:00-03:00,2022-09-05 10:50:00-03:00,short,5198.0,5201.0,-3.0,-34.0,max_hold
2022-09-05,2022-09-05 13:10:00-03:00,2022-09-05 13:25:00-03:00,short,5190.5,5186.5,4.0,36.0,take_profit
2022-09-05,2022-09-05 13:30:00-03:00,2022-09-05 14:05:00-03:00,short,5187.5,5191.0,-3.5,-39.0,stop_loss
2022-09-06,2022-09-08 06:00:00-03:00,2022-09-08 06:05:00-03:00,long,5242.0,5238.0,-4.0,-44.0,stop_loss
2022-09-09,2022-09-09 10:50:00-03:00,2022-09-09 11:00:00-03:00,short,5180.5,5186.5,-6.0,-64.0,stop_loss
2022-09-14,2022-09-14 12:15:00-03:00,2022-09-14 12:20:00-03:00,long,5209.5,5204.0,-5.5,-59.0,stop_loss
2022-09-15,2022-09-15 14:50:00-03:00,2022-09-16 06:00:00-03:00,long,5268.5,5273.0,4.5,41.0,take_profit
2022-09-23,2022-09-23 10:15:00-03:00,2022-09-23 10:30:00-03:00,long,5251.0,5258.0,7.0,66.0,take_profit
2022-09-23,2022-09-23 14:55:00-03:00,2022-09-26 06:00:00-03:00,long,5269.0,5300.0,31.0,306.0,target_gap_open
2022-09-27,2022-09-27 10:15:00-03:00,2022-09-27 10:30:00-03:00,long,5376.5,5367.5,-9.0,-94.0,stop_loss
2022-09-27,2022-09-27 11:05:00-03:00,2022-09-27 11:45:00-03:00,long,5383.5,5374.5,-9.0,-94.0,stop_loss
2022-09-28,2022-09-28 09:10:00-03:00,2022-09-28 09:30:00-03:00,long,5369.5,5383.5,14.0,136.0,take_profit
2022-10-03,2022-10-03 10:45:00-03:00,2022-10-03 11:10:00-03:00,short,5193.0,5202.5,-9.5,-99.0,stop_loss
2022-10-06,2022-10-06 14:15:00-03:00,2022-10-06 14:20:00-03:00,long,5238.5,5245.0,6.5,61.0,take_profit
2022-10-06,2022-10-06 14:25:00-03:00,2022-10-06 14:50:00-03:00,long,5243.5,5250.0,6.5,61.0,take_profit
2022-10-10,2022-10-10 11:50:00-03:00,2022-10-10 12:05:00-03:00,short,5217.0,5209.5,7.5,71.0,take_profit
2022-10-13,2022-10-13 12:45:00-03:00,2022-10-13 12:50:00-03:00,long,5270.0,5279.5,9.5,91.0,take_profit
2022-10-13,2022-10-13 12:55:00-03:00,2022-10-13 13:10:00-03:00,long,5279.0,5288.5,9.5,91.0,take_profit
2022-10-14,2022-10-14 12:20:00-03:00,2022-10-14 12:35:00-03:00,long,5347.0,5340.0,-7.0,-74.0,stop_loss
2022-10-17,2022-10-17 14:20:00-03:00,2022-10-17 14:55:00-03:00,short,5299.5,5293.0,6.5,61.0,take_profit
2022-10-19,2022-10-19 10:50:00-03:00,2022-10-19 11:00:00-03:00,long,5304.0,5297.0,-7.0,-74.0,stop_loss
2022-10-20,2022-10-20 14:15:00-03:00,2022-10-20 14:30:00-03:00,short,5223.0,5227.5,-4.5,-49.0,stop_loss
2022-10-28,2022-10-28 10:00:00-03:00,2022-10-28 10:15:00-03:00,long,5356.0,5346.5,-9.5,-99.0,stop_loss
2022-11-04,2022-11-04 11:15:00-03:00,2022-11-04 11:45:00-03:00,short,5057.0,5065.0,-8.0,-84.0,stop_loss
2022-11-07,2022-11-07 13:15:00-03:00,2022-11-07 13:20:00-03:00,long,5153.0,5161.0,8.0,76.0,take_profit
2022-11-09,2022-11-09 14:45:00-03:00,2022-11-09 15:25:00-03:00,long,5215.5,5207.0,-8.5,-89.0,stop_loss
2022-11-23,2022-11-23 12:55:00-03:00,2022-11-23 13:00:00-03:00,long,5406.0,5399.0,-7.0,-74.0,stop_loss
2022-12-01,2022-12-01 11:35:00-03:00,2022-12-01 11:45:00-03:00,short,5205.5,5214.5,-9.0,-94.0,stop_loss
2022-12-01,2022-12-01 15:20:00-03:00,2022-12-02 06:05:00-03:00,short,5219.0,5213.5,5.5,51.0,take_profit
2022-12-02,2022-12-02 13:00:00-03:00,2022-12-02 13:15:00-03:00,long,5252.5,5246.0,-6.5,-69.0,stop_loss
2022-12-14,2022-12-14 09:05:00-03:00,2022-12-14 09:20:00-03:00,long,5367.5,5357.0,-10.5,-109.0,stop_loss
2022-12-15,2022-12-15 13:30:00-03:00,2022-12-15 13:35:00-03:00,long,5339.5,5332.5,-7.0,-74.0,stop_loss
2022-12-19,2022-12-19 11:45:00-03:00,2022-12-19 12:00:00-03:00,long,5333.5,5327.5,-6.0,-64.0,stop_loss
2022-12-26,2022-12-26 10:55:00-03:00,2022-12-26 11:00:00-03:00,long,5204.0,5209.0,5.0,46.0,take_profit
2022-12-27,2022-12-27 15:10:00-03:00,2022-12-27 15:15:00-03:00,long,5295.5,5291.5,-4.0,-44.0,stop_loss
