session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-09-05,2022-09-05 09:55:00-03:00,2022-09-05 10:50:00-03:00,short,5197.5,5204.5,-7.0,-74.0,stop_loss
2022-09-05,2022-09-05 11:10:00-03:00,2022-09-05 11:35:00-03:00,short,5188.0,5193.5,-5.5,-59.0,stop_loss
2022-09-05,2022-09-05 14:15:00-03:00,2022-09-05 14:20:00-03:00,short,5187.0,5190.0,-3.0,-34.0,stop_loss
2022-09-06,2022-09-08 06:00:00-03:00,2022-09-08 06:05:00-03:00,long,5242.0,5238.0,-4.0,-44.0,stop_loss
2022-09-08,2022-09-08 14:50:00-03:00,2022-09-09 06:00:00-03:00,long,5246.0,5212.0,-34.0,-344.0,stop_gap_open
2022-09-09,2022-09-09 12:05:00-03:00,2022-09-09 12:10:00-03:00,long,5192.0,5187.5,-4.5,-49.0,stop_loss
2022-09-09,2022-09-09 13:30:00-03:00,2022-09-09 13:40:00-03:00,short,5178.5,5174.0,4.5,41.0,take_profit
2022-09-13,2022-09-13 12:40:00-03:00,2022-09-13 13:40:00-03:00,long,5213.5,5217.0,3.5,31.0,max_hold
2022-09-15,2022-09-15 13:00:00-03:00,2022-09-15 13:05:00-03:00,long,5262.5,5258.0,-4.5,-49.0,stop_loss
2022-09-15,2022-09-15 13:15:00-03:00,2022-09-15 13:50:00-03:00,long,5265.0,5260.0,-5.0,-54.0,stop_loss
2022-09-21,2022-09-21 12:00:00-03:00,2022-09-21 12:05:00-03:00,short,5186.5,5196.0,-9.5,-99.0,stop_gap_open
2022-09-21,2022-09-21 12:10:00-03:00,2022-09-21 12:15:00-03:00,short,5182.0,5194.5,-12.5,-129.0,stop_gap_open
2022-09-21,2022-09-21 12:20:00-03:00,2022-09-21 12:25:00-03:00,short,5179.0,5166.0,13.0,126.0,take_profit
2022-09-22,2022-09-22 10:05:00-03:00,2022-09-22 10:10:00-03:00,short,5178.5,5186.0,-7.5,-79.0,stop_loss
2022-09-22,2022-09-22 10:45:00-03:00,2022-09-22 11:15:00-03:00,short,5172.0,5163.0,9.0,86.0,take_profit
2022-09-22,2022-09-22 11:35:00-03:00,2022-09-22 11:55:00-03:00,short,5148.5,5139.5,9.0,86.0,take_profit
2022-09-23,2022-09-23 10:30:00-03:00,2022-09-23 10:45:00-03:00,long,5255.5,5250.0,-5.5,-59.0,stop_loss
2022-09-26,2022-09-26 13:05:00-03:00,2022-09-26 13:15:00-03:00,short,5389.5,5398.5,-9.0,-94.0,stop_loss
2022-09-27,2022-09-27 11:05:00-03:00,2022-09-27 11:45:00-03:00,long,5383.5,5374.5,-9.0,-94.0,stop_loss
2022-09-28,2022-09-28 14:15:00-03:00,2022-09-28 14:50:00-03:00,long,5364.5,5372.0,7.5,71.0,take_profit
2022-09-28,2022-09-28 14:55:00-03:00,2022-09-29 06:00:00-03:00,long,5373.0,5392.0,19.0,186.0,target_gap_open
2022-09-29,2022-09-29 12:20:00-03:00,2022-09-29 12:35:00-03:00,long,5411.5,5404.5,-7.0,-74.0,stop_loss
2022-10-03,2022-10-03 13:10:00-03:00,2022-10-03 13:15:00-03:00,long,5211.0,5220.0,9.0,86.0,take_profit
2022-10-03,2022-10-03 13:20:00-03:00,2022-10-03 13:25:00-03:00,long,5217.5,5210.0,-7.5,-79.0,stop_loss
2022-10-05,2022-10-05 11:30:00-03:00,2022-10-05 11:40:00-03:00,short,5221.0,5230.0,-9.0,-94.0,stop_loss
2022-10-05,2022-10-05 12:40:00-03:00,2022-10-05 13:40:00-03:00,short,5204.0,5202.0,2.0,16.0,max_hold
2022-10-05,2022-10-05 14:45:00-03:00,2022-10-05 14:50:00-03:00,long,5233.5,5226.5,-7.0,-74.0,stop_loss
2022-10-06,2022-10-06 14:20:00-03:00,2022-10-06 14:50:00-03:00,long,5243.5,5250.5,7.0,66.0,take_profit
2022-10-07,2022-10-07 13:15:00-03:00,2022-10-07 13:25:00-03:00,long,5242.0,5250.0,8.0,76.0,take_profit
2022-10-07,2022-10-07 13:30:00-03:00,2022-10-07 13:40:00-03:00,long,5248.5,5242.0,-6.5,-69.0,stop_loss
2022-10-10,2022-10-10 11:55:00-03:00,2022-10-10 12:55:00-03:00,short,5214.0,5206.5,7.5,71.0,take_profit
2022-10-11,2022-10-11 10:45:00-03:00,2022-10-11 10:50:00-03:00,short,5219.0,5226.0,-7.0,-74.0,stop_loss
2022-10-13,2022-10-13 11:15:00-03:00,2022-10-13 12:15:00-03:00,short,5261.0,5252.5,8.5,81.0,max_hold
