session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2021-03-30,2021-03-30 14:00:00-03:00,2021-03-31 06:15:00-03:00,long,5759.5,5743.5,-16.0,-164.0,stop_loss
2021-04-05,2021-04-05 12:30:00-03:00,2021-04-06 06:00:00-03:00,long,5679.5,5667.0,-12.5,-129.0,stop_loss
2021-04-07,2021-04-07 10:00:00-03:00,2021-04-07 10:15:00-03:00,long,5615.5,5641.5,26.0,256.0,take_profit
2021-04-08,2021-04-08 14:30:00-03:00,2021-04-09 06:00:00-03:00,long,5588.0,5608.0,20.0,196.0,take_profit
2021-04-12,2021-04-12 09:15:00-03:00,2021-04-12 12:30:00-03:00,long,5698.5,5720.5,22.0,216.0,take_profit
2021-04-13,2021-04-13 09:30:00-03:00,2021-04-13 11:00:00-03:00,short,5708.5,5681.0,27.5,271.0,take_profit
2021-04-13,2021-04-13 13:45:00-03:00,2021-04-13 14:15:00-03:00,long,5728.0,5712.0,-16.0,-164.0,stop_loss
2021-04-16,2021-04-16 09:15:00-03:00,2021-04-16 10:15:00-03:00,short,5615.0,5591.0,24.0,236.0,take_profit
2021-04-20,2021-04-20 12:30:00-03:00,2021-04-20 12:45:00-03:00,long,5540.0,5561.5,21.5,211.0,take_profit
2021-04-23,2021-04-26 06:00:00-03:00,2021-04-26 06:30:00-03:00,short,5458.0,5469.0,-11.0,-114.0,stop_loss
2021-04-27,2021-04-27 12:45:00-03:00,2021-04-28 06:00:00-03:00,long,5454.5,5441.0,-13.5,-139.0,stop_loss
2021-04-29,2021-04-29 12:00:00-03:00,2021-04-29 12:15:00-03:00,long,5370.5,5359.0,-11.5,-119.0,stop_loss
2021-04-29,2021-04-29 12:30:00-03:00,2021-04-29 13:30:00-03:00,short,5361.5,5344.0,17.5,171.0,take_profit
2021-05-03,2021-05-03 13:30:00-03:00,2021-05-03 14:15:00-03:00,long,5434.5,5454.0,19.5,191.0,take_profit
2021-05-04,2021-05-04 10:30:00-03:00,2021-05-04 11:45:00-03:00,short,5429.5,5445.5,-16.0,-164.0,stop_loss
2021-05-04,2021-05-05 06:00:00-03:00,2021-05-05 06:15:00-03:00,long,5450.5,5439.0,-11.5,-119.0,stop_loss
2021-05-07,2021-05-10 06:00:00-03:00,2021-05-10 06:15:00-03:00,long,5248.5,5239.5,-9.0,-94.0,stop_loss
2021-05-10,2021-05-10 10:45:00-03:00,2021-05-10 12:15:00-03:00,long,5236.0,5254.5,18.5,181.0,take_profit
2021-05-10,2021-05-11 06:00:00-03:00,2021-05-11 06:15:00-03:00,short,5247.5,5232.0,15.5,151.0,target_gap_open
