session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2021-03-30,2021-03-30 09:15:00-03:00,2021-03-30 13:45:00-03:00,short,5753.5,5762.0,-8.5,-89.0,opposite_cross
2021-03-30,2021-03-30 14:00:00-03:00,2021-03-31 07:45:00-03:00,long,5759.5,5758.5,-1.0,-14.0,opposite_cross
2021-04-05,2021-04-05 12:30:00-03:00,2021-04-06 06:00:00-03:00,long,5679.5,5675.0,-4.5,-49.0,opposite_cross
2021-04-07,2021-04-07 10:00:00-03:00,2021-04-08 06:30:00-03:00,long,5615.5,5611.0,-4.5,-49.0,opposite_cross
2021-04-08,2021-04-08 14:30:00-03:00,2021-04-12 06:30:00-03:00,long,5588.0,5657.0,69.0,686.0,opposite_cross
2021-04-12,2021-04-12 09:15:00-03:00,2021-04-13 09:15:00-03:00,long,5698.5,5718.5,20.0,196.0,opposite_cross
2021-04-13,2021-04-13 09:30:00-03:00,2021-04-13 13:30:00-03:00,short,5708.5,5707.5,1.0,6.0,opposite_cross
2021-04-13,2021-04-13 13:45:00-03:00,2021-04-14 08:00:00-03:00,long,5728.0,5685.5,-42.5,-429.0,opposite_cross
2021-04-16,2021-04-16 09:15:00-03:00,2021-04-19 07:15:00-03:00,short,5615.0,5608.0,7.0,66.0,opposite_cross
2021-04-20,2021-04-20 12:30:00-03:00,2021-04-22 06:30:00-03:00,long,5540.0,5525.0,-15.0,-154.0,opposite_cross
2021-04-23,2021-04-26 06:00:00-03:00,2021-04-27 12:30:00-03:00,short,5458.0,5453.0,5.0,46.0,opposite_cross
2021-04-27,2021-04-27 12:45:00-03:00,2021-04-28 06:30:00-03:00,long,5454.5,5438.5,-16.0,-164.0,opposite_cross
2021-04-29,2021-04-29 12:00:00-03:00,2021-04-29 12:15:00-03:00,long,5370.5,5370.0,-0.5,-9.0,opposite_cross
2021-04-29,2021-04-29 12:30:00-03:00,2021-04-30 07:00:00-03:00,short,5361.5,5362.0,-0.5,-9.0,opposite_cross
2021-05-03,2021-05-03 13:30:00-03:00,2021-05-04 10:15:00-03:00,long,5434.5,5451.0,16.5,161.0,opposite_cross
2021-05-04,2021-05-04 10:30:00-03:00,2021-05-04 14:45:00-03:00,short,5429.5,5451.0,-21.5,-219.0,opposite_cross
