session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-09-02,2022-09-02 10:00:00-03:00,2022-09-02 10:30:00-03:00,short,5210.0,5226.5,-16.5,-169.0,stop_loss
2022-09-05,2022-09-05 09:50:00-03:00,2022-09-05 11:05:00-03:00,short,5198.0,5187.5,10.5,101.0,take_profit
2022-09-06,2022-09-06 11:00:00-03:00,2022-09-06 14:00:00-03:00,long,5270.0,5272.5,2.5,21.0,time_cutoff
2022-09-08,2022-09-08 09:45:00-03:00,2022-09-08 12:15:00-03:00,long,5256.5,5240.5,-16.0,-164.0,stop_loss
2022-09-09,2022-09-09 09:20:00-03:00,2022-09-09 10:55:00-03:00,long,5185.0,5177.0,-8.0,-84.0,stop_loss
2022-09-12,2022-09-12 09:40:00-03:00,2022-09-12 09:45:00-03:00,long,5153.5,5146.0,-7.5,-79.0,stop_loss
2022-09-13,2022-09-13 09:20:00-03:00,2022-09-13 14:00:00-03:00,long,5204.0,5214.0,10.0,96.0,time_cutoff
2022-09-14,2022-09-14 10:25:00-03:00,2022-09-14 14:00:00-03:00,long,5203.5,5200.0,-3.5,-39.0,time_cutoff
2022-09-15,2022-09-15 10:10:00-03:00,2022-09-15 11:05:00-03:00,long,5260.0,5247.5,-12.5,-129.0,stop_loss
2022-09-16,2022-09-16 09:40:00-03:00,2022-09-16 12:25:00-03:00,long,5309.0,5286.0,-23.0,-234.0,stop_loss
2022-09-19,2022-09-19 09:35:00-03:00,2022-09-19 09:45:00-03:00,short,5216.5,5200.5,16.0,156.0,take_profit
2022-09-20,2022-09-20 09:20:00-03:00,2022-09-20 11:35:00-03:00,short,5162.5,5185.5,-23.0,-234.0,stop_loss
2022-09-21,2022-09-21 09:35:00-03:00,2022-09-21 10:05:00-03:00,short,5189.5,5197.0,-7.5,-79.0,stop_loss
2022-09-22,2022-09-22 09:25:00-03:00,2022-09-22 09:45:00-03:00,long,5196.0,5182.5,-13.5,-139.0,stop_loss
2022-09-23,2022-09-23 09:25:00-03:00,2022-09-23 10:05:00-03:00,short,5239.5,5250.0,-10.5,-109.0,stop_loss
2022-09-26,2022-09-26 09:30:00-03:00,2022-09-26 09:35:00-03:00,long,5372.5,5385.5,13.0,126.0,target_gap_open
2022-09-27,2022-09-27 09:25:00-03:00,2022-09-27 10:10:00-03:00,long,5366.5,5375.5,9.0,86.0,take_profit
2022-09-28,2022-09-28 09:20:00-03:00,2022-09-28 09:35:00-03:00,long,5372.0,5390.5,18.5,181.0,take_profit
2022-09-29,2022-09-29 12:20:00-03:00,2022-09-29 14:00:00-03:00,long,5411.5,5396.0,-15.5,-159.0,time_cutoff
2022-09-30,2022-09-30 09:30:00-03:00,2022-09-30 11:20:00-03:00,long,5452.0,5425.5,-26.5,-269.0,stop_loss
2022-10-03,2022-10-03 10:45:00-03:00,2022-10-03 13:15:00-03:00,short,5193.0,5220.5,-27.5,-279.0,stop_loss
2022-10-04,2022-10-04 09:45:00-03:00,2022-10-04 11:00:00-03:00,long,5189.5,5210.5,21.0,206.0,take_profit
2022-10-05,2022-10-05 09:25:00-03:00,2022-10-05 09:35:00-03:00,short,5253.5,5243.0,10.5,101.0,take_profit
2022-10-06,2022-10-06 10:00:00-03:00,2022-10-06 14:00:00-03:00,long,5232.5,5235.5,3.0,26.0,time_cutoff
2022-10-07,2022-10-07 09:20:00-03:00,2022-10-07 09:30:00-03:00,long,5252.0,5236.0,-16.0,-164.0,stop_loss
2022-10-10,2022-10-10 09:25:00-03:00,2022-10-10 09:50:00-03:00,short,5227.0,5216.0,11.0,106.0,take_profit
2022-10-11,2022-10-11 09:25:00-03:00,2022-10-11 10:40:00-03:00,long,5246.0,5225.0,-21.0,-214.0,stop_loss
2022-10-13,2022-10-13 09:40:00-03:00,2022-10-13 11:15:00-03:00,short,5286.5,5255.5,31.0,306.0,take_profit
2022-10-14,2022-10-14 09:20:00-03:00,2022-10-14 12:15:00-03:00,long,5327.5,5347.5,20.0,196.0,take_profit
2022-10-17,2022-10-17 09:55:00-03:00,2022-10-17 10:40:00-03:00,short,5271.5,5288.0,-16.5,-169.0,stop_loss
2022-10-18,2022-10-18 09:20:00-03:00,2022-10-18 12:10:00-03:00,long,5302.0,5275.5,-26.5,-269.0,stop_loss
2022-10-19,2022-10-19 10:25:00-03:00,2022-10-19 12:05:00-03:00,long,5302.0,5288.0,-14.0,-144.0,stop_loss
2022-10-20,2022-10-20 09:25:00-03:00,2022-10-20 09:50:00-03:00,long,5218.5,5210.5,-8.0,-84.0,stop_loss
2022-10-21,2022-10-21 09:40:00-03:00,2022-10-21 09:50:00-03:00,long,5218.5,5193.5,-25.0,-254.0,stop_loss
2022-10-24,2022-10-24 09:25:00-03:00,2022-10-24 09:45:00-03:00,short,5270.5,5295.0,-24.5,-249.0,stop_loss
2022-10-25,2022-10-25 09:30:00-03:00,2022-10-25 11:50:00-03:00,short,5295.0,5319.0,-24.0,-244.0,stop_loss
2022-10-26,2022-10-26 09:30:00-03:00,2022-10-26 09:45:00-03:00,short,5320.5,5333.0,-12.5,-129.0,stop_loss
2022-10-27,2022-10-27 09:20:00-03:00,2022-10-27 09:30:00-03:00,long,5307.0,5291.5,-15.5,-159.0,stop_loss
2022-10-28,2022-10-28 09:55:00-03:00,2022-10-28 10:00:00-03:00,long,5344.5,5359.5,15.0,146.0,take_profit
2022-10-31,2022-10-31 09:20:00-03:00,2022-10-31 11:15:00-03:00,long,5281.5,5254.0,-27.5,-279.0,stop_loss
2022-11-01,2022-11-01 09:30:00-03:00,2022-11-01 09:35:00-03:00,short,5154.0,5140.5,13.5,131.0,take_profit
2022-11-03,2022-11-03 09:40:00-03:00,2022-11-03 09:45:00-03:00,short,5139.0,5117.5,21.5,211.0,take_profit
2022-11-04,2022-11-04 09:30:00-03:00,2022-11-04 12:40:00-03:00,long,5064.5,5048.0,-16.5,-169.0,stop_loss
2022-11-07,2022-11-07 09:25:00-03:00,2022-11-07 13:15:00-03:00,long,5137.5,5159.0,21.5,211.0,take_profit
2022-11-08,2022-11-08 10:05:00-03:00,2022-11-08 12:25:00-03:00,short,5162.5,5192.0,-29.5,-299.0,stop_loss
2022-11-09,2022-11-09 13:35:00-03:00,2022-11-09 14:00:00-03:00,long,5200.5,5203.0,2.5,21.0,time_cutoff
