session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-11-25,2022-11-25 14:05:00-03:00,2022-11-25 14:45:00-03:00,short,5414.0,5400.0,14.0,136.0,max_hold
2022-11-25,2022-11-25 14:50:00-03:00,2022-11-25 14:55:00-03:00,short,5400.0,5407.5,-7.5,-79.0,stop_gap_open
2022-11-25,2022-11-25 15:00:00-03:00,2022-11-25 15:05:00-03:00,short,5403.5,5410.5,-7.0,-74.0,stop_loss
2022-11-25,2022-11-25 15:10:00-03:00,2022-11-25 15:25:00-03:00,short,5416.0,5423.5,-7.5,-79.0,stop_loss
2022-11-25,2022-11-28 06:00:00-03:00,2022-11-28 06:40:00-03:00,short,5427.0,5395.0,32.0,316.0,max_hold
2022-11-28,2022-11-28 14:05:00-03:00,2022-11-28 14:45:00-03:00,long,5366.0,5375.0,9.0,86.0,max_hold
2022-11-28,2022-11-28 14:55:00-03:00,2022-11-29 06:00:00-03:00,long,5368.5,5330.0,-38.5,-389.0,stop_gap_open
2022-11-29,2022-11-29 14:05:00-03:00,2022-11-29 14:10:00-03:00,long,5286.5,5281.5,-5.0,-54.0,stop_loss
2022-11-29,2022-11-29 14:15:00-03:00,2022-11-29 14:55:00-03:00,long,5283.5,5285.5,2.0,16.0,max_hold
2022-11-29,2022-11-29 15:00:00-03:00,2022-11-29 15:05:00-03:00,long,5285.5,5280.5,-5.0,-54.0,stop_loss
2022-11-29,2022-11-29 15:10:00-03:00,2022-11-29 15:25:00-03:00,long,5276.0,5271.0,-5.0,-54.0,stop_loss
2022-11-29,2022-11-30 06:00:00-03:00,2022-11-30 06:05:00-03:00,long,5295.0,5289.5,-5.5,-59.0,stop_loss
2022-11-30,2022-11-30 14:05:00-03:00,2022-11-30 14:10:00-03:00,long,5227.0,5218.0,-9.0,-94.0,stop_loss
2022-11-30,2022-11-30 14:15:00-03:00,2022-11-30 14:55:00-03:00,long,5220.5,5221.0,0.5,1.0,max_hold
2022-11-30,2022-11-30 15:00:00-03:00,2022-11-30 15:15:00-03:00,long,5221.0,5213.0,-8.0,-84.0,stop_loss
2022-11-30,2022-11-30 15:20:00-03:00,2022-11-30 15:25:00-03:00,long,5214.5,5206.5,-8.0,-84.0,stop_loss
2022-11-30,2022-12-01 06:00:00-03:00,2022-12-01 06:40:00-03:00,long,5222.0,5231.5,9.5,91.0,max_hold
2022-12-01,2022-12-01 14:15:00-03:00,2022-12-01 14:40:00-03:00,short,5230.5,5224.0,6.5,61.0,vwap_revert
2022-12-02,2022-12-02 14:05:00-03:00,2022-12-02 14:45:00-03:00,short,5247.0,5248.5,-1.5,-19.0,max_hold
2022-12-02,2022-12-02 14:50:00-03:00,2022-12-02 15:25:00-03:00,short,5248.5,5252.5,-4.0,-44.0,stop_loss
2022-12-02,2022-12-05 06:00:00-03:00,2022-12-05 06:05:00-03:00,short,5234.5,5253.0,-18.5,-189.0,stop_gap_open
2022-12-05,2022-12-05 14:05:00-03:00,2022-12-05 14:45:00-03:00,short,5311.0,5312.0,-1.0,-14.0,max_hold
2022-12-05,2022-12-05 14:50:00-03:00,2022-12-05 15:15:00-03:00,short,5312.5,5316.5,-4.0,-44.0,stop_loss
2022-12-05,2022-12-05 15:20:00-03:00,2022-12-05 15:25:00-03:00,short,5314.5,5318.5,-4.0,-44.0,stop_loss
2022-12-05,2022-12-06 06:00:00-03:00,2022-12-06 06:10:00-03:00,short,5301.0,5276.5,24.5,241.0,vwap_revert
2022-12-06,2022-12-06 14:05:00-03:00,2022-12-06 14:45:00-03:00,short,5296.0,5273.0,23.0,226.0,vwap_revert
2022-12-07,2022-12-07 14:05:00-03:00,2022-12-07 14:45:00-03:00,long,5228.0,5241.5,13.5,131.0,max_hold
2022-12-07,2022-12-07 14:55:00-03:00,2022-12-07 15:05:00-03:00,long,5240.0,5235.0,-5.0,-54.0,stop_loss
2022-12-07,2022-12-07 15:10:00-03:00,2022-12-07 15:15:00-03:00,long,5235.5,5231.0,-4.5,-49.0,stop_loss
2022-12-07,2022-12-07 15:20:00-03:00,2022-12-07 15:25:00-03:00,long,5236.5,5231.5,-5.0,-54.0,stop_loss
2022-12-08,2022-12-08 15:15:00-03:00,2022-12-08 15:20:00-03:00,short,5244.0,5264.5,-20.5,-209.0,stop_gap_open
2022-12-08,2022-12-08 15:25:00-03:00,2022-12-09 06:25:00-03:00,short,5263.0,5269.5,-6.5,-69.0,stop_loss
2022-12-09,2022-12-09 14:40:00-03:00,2022-12-09 14:45:00-03:00,long,5264.5,5269.0,4.5,41.0,vwap_revert
2022-12-09,2022-12-12 06:00:00-03:00,2022-12-12 06:05:00-03:00,long,5262.5,5277.0,14.5,141.0,target_gap_open
2022-12-12,2022-12-12 14:05:00-03:00,2022-12-12 14:20:00-03:00,short,5335.0,5323.5,11.5,111.0,vwap_revert
2022-12-12,2022-12-12 15:15:00-03:00,2022-12-12 15:25:00-03:00,short,5340.5,5347.5,-7.0,-74.0,stop_loss
2022-12-12,2022-12-13 06:00:00-03:00,2022-12-13 06:05:00-03:00,short,5341.5,5323.5,18.0,176.0,vwap_revert
2022-12-13,2022-12-13 14:05:00-03:00,2022-12-13 14:45:00-03:00,short,5336.0,5332.0,4.0,36.0,max_hold
2022-12-13,2022-12-13 14:50:00-03:00,2022-12-14 06:00:00-03:00,short,5331.5,5340.0,-8.5,-89.0,stop_loss
2022-12-14,2022-12-14 14:05:00-03:00,2022-12-14 14:10:00-03:00,long,5320.0,5306.5,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:15:00-03:00,2022-12-14 14:40:00-03:00,long,5308.5,5295.0,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:45:00-03:00,2022-12-14 15:25:00-03:00,long,5298.0,5307.0,9.0,86.0,max_hold
2022-12-15,2022-12-15 14:35:00-03:00,2022-12-15 15:00:00-03:00,long,5324.0,5332.5,8.5,81.0,vwap_revert
2022-12-16,2022-12-16 14:40:00-03:00,2022-12-16 14:45:00-03:00,short,5308.5,5313.0,-4.5,-49.0,stop_loss
