session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-11-28,2022-11-28 14:05:00-03:00,2022-11-28 14:45:00-03:00,long,5366.0,5375.0,9.0,86.0,max_hold
2022-11-28,2022-11-28 14:55:00-03:00,2022-11-29 06:00:00-03:00,long,5368.5,5330.0,-38.5,-389.0,stop_gap_open
2022-12-08,2022-12-08 15:15:00-03:00,2022-12-08 15:20:00-03:00,short,5244.0,5264.5,-20.5,-209.0,stop_gap_open
2022-12-08,2022-12-08 15:25:00-03:00,2022-12-09 06:25:00-03:00,short,5263.0,5269.5,-6.5,-69.0,stop_loss
2022-12-13,2022-12-13 14:05:00-03:00,2022-12-13 14:45:00-03:00,short,5336.0,5332.0,4.0,36.0,max_hold
2022-12-13,2022-12-13 14:50:00-03:00,2022-12-14 06:00:00-03:00,short,5331.5,5340.0,-8.5,-89.0,stop_loss
2022-12-14,2022-12-14 14:05:00-03:00,2022-12-14 14:10:00-03:00,long,5320.0,5306.5,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:15:00-03:00,2022-12-14 14:40:00-03:00,long,5308.5,5295.0,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:45:00-03:00,2022-12-14 15:25:00-03:00,long,5298.0,5307.0,9.0,86.0,max_hold
2022-12-15,2022-12-15 14:35:00-03:00,2022-12-15 15:00:00-03:00,long,5324.0,5332.5,8.5,81.0,vwap_revert
2022-12-16,2022-12-16 15:05:00-03:00,2022-12-16 15:10:00-03:00,short,5320.0,5324.5,-4.5,-49.0,stop_loss
2022-12-16,2022-12-16 15:15:00-03:00,2022-12-16 15:25:00-03:00,short,5329.5,5334.5,-5.0,-54.0,stop_loss
2022-12-16,2022-12-19 06:00:00-03:00,2022-12-19 06:40:00-03:00,short,5350.0,5325.0,25.0,246.0,max_hold
2022-12-19,2022-12-19 14:10:00-03:00,2022-12-19 14:30:00-03:00,long,5314.0,5308.5,-5.5,-59.0,stop_loss
2022-12-19,2022-12-19 14:35:00-03:00,2022-12-19 15:15:00-03:00,long,5305.0,5306.5,1.5,11.0,max_hold
2022-12-19,2022-12-19 15:20:00-03:00,2022-12-20 06:00:00-03:00,long,5306.5,5302.0,-4.5,-49.0,stop_loss
2022-12-28,2022-12-28 14:50:00-03:00,2022-12-28 14:55:00-03:00,long,5260.5,5264.5,4.0,36.0,vwap_revert
2022-12-28,2022-12-28 15:25:00-03:00,2022-12-29 06:00:00-03:00,short,5273.0,5280.0,-7.0,-74.0,stop_gap_open
2023-01-23,2023-01-23 15:05:00-03:00,2023-01-23 15:15:00-03:00,short,5208.0,5212.5,-4.5,-49.0,stop_loss
2023-01-23,2023-01-23 15:20:00-03:00,2023-01-23 15:25:00-03:00,short,5212.0,5216.0,-4.0,-44.0,stop_loss
2023-01-23,2023-01-24 06:10:00-03:00,2023-01-24 06:30:00-03:00,short,5221.0,5203.5,17.5,171.0,vwap_revert
2023-02-02,2023-02-02 14:35:00-03:00,2023-02-02 15:10:00-03:00,short,5069.0,5075.0,-6.0,-64.0,stop_loss
2023-02-02,2023-02-02 15:15:00-03:00,2023-02-03 06:00:00-03:00,short,5075.0,5119.5,-44.5,-449.0,stop_gap_open
2023-02-08,2023-02-08 15:05:00-03:00,2023-02-08 15:15:00-03:00,long,5215.0,5219.0,4.0,36.0,vwap_revert
2023-02-16,2023-02-16 14:05:00-03:00,2023-02-16 14:45:00-03:00,long,5225.5,5232.0,6.5,61.0,max_hold
2023-02-16,2023-02-16 14:50:00-03:00,2023-02-16 15:00:00-03:00,long,5232.5,5226.0,-6.5,-69.0,stop_loss
2023-02-16,2023-02-16 15:05:00-03:00,2023-02-17 06:00:00-03:00,long,5223.0,5243.5,20.5,201.0,target_gap_open
2023-02-27,2023-02-27 14:05:00-03:00,2023-02-27 14:45:00-03:00,short,5209.0,5206.5,2.5,21.0,max_hold
2023-03-02,2023-03-02 14:40:00-03:00,2023-03-02 14:45:00-03:00,long,5236.5,5243.0,6.5,61.0,target_gap_open
2023-03-02,2023-03-02 14:55:00-03:00,2023-03-02 15:20:00-03:00,short,5247.5,5239.0,8.5,81.0,vwap_revert
2023-03-03,2023-03-03 14:05:00-03:00,2023-03-03 14:40:00-03:00,long,5231.0,5236.5,5.5,51.0,vwap_revert
2023-03-03,2023-03-03 14:55:00-03:00,2023-03-03 15:05:00-03:00,long,5230.5,5227.0,-3.5,-39.0,stop_loss
2023-03-03,2023-03-03 15:10:00-03:00,2023-03-03 15:20:00-03:00,long,5228.0,5225.0,-3.0,-34.0,stop_loss
2023-03-09,2023-03-09 14:15:00-03:00,2023-03-09 14:20:00-03:00,short,5174.5,5182.5,-8.0,-84.0,stop_gap_open
2023-03-09,2023-03-09 14:25:00-03:00,2023-03-09 15:05:00-03:00,short,5193.0,5191.5,1.5,11.0,max_hold
2023-03-09,2023-03-09 15:10:00-03:00,2023-03-10 06:10:00-03:00,short,5191.5,5197.5,-6.0,-64.0,stop_loss
2023-03-17,2023-03-17 14:05:00-03:00,2023-03-17 14:35:00-03:00,short,5286.5,5290.0,-3.5,-39.0,stop_loss
2023-03-17,2023-03-17 14:40:00-03:00,2023-03-17 14:50:00-03:00,short,5287.5,5291.5,-4.0,-44.0,stop_loss
2023-03-17,2023-03-17 14:55:00-03:00,2023-03-20 06:10:00-03:00,short,5291.5,5280.5,11.0,106.0,vwap_revert
2023-03-21,2023-03-21 14:20:00-03:00,2023-03-22 06:00:00-03:00,short,5258.5,5262.0,-3.5,-39.0,stop_loss
2023-04-03,2023-04-03 14:05:00-03:00,2023-04-03 14:45:00-03:00,short,5091.5,5087.5,4.0,36.0,max_hold
2023-04-03,2023-04-03 14:50:00-03:00,2023-04-03 14:55:00-03:00,short,5087.5,5085.0,2.5,21.0,vwap_revert
2023-04-06,2023-04-06 14:05:00-03:00,2023-04-06 14:10:00-03:00,long,5075.5,5073.0,-2.5,-29.0,stop_loss
2023-04-06,2023-04-06 14:15:00-03:00,2023-04-06 14:55:00-03:00,long,5073.0,5078.5,5.5,51.0,max_hold
2023-04-06,2023-04-10 06:00:00-03:00,2023-04-10 06:05:00-03:00,long,5074.0,5069.5,-4.5,-49.0,stop_gap_open
2023-04-10,2023-04-10 14:05:00-03:00,2023-04-10 14:45:00-03:00,long,5083.0,5084.5,1.5,11.0,max_hold
2023-04-10,2023-04-10 14:50:00-03:00,2023-04-10 14:55:00-03:00,long,5084.5,5082.0,-2.5,-29.0,stop_loss
2023-04-17,2023-04-17 14:10:00-03:00,2023-04-17 14:20:00-03:00,short,4945.5,4948.5,-3.0,-34.0,stop_loss
2023-04-17,2023-04-17 14:25:00-03:00,2023-04-17 14:50:00-03:00,short,4948.0,4951.0,-3.0,-34.0,stop_loss
2023-04-17,2023-04-17 14:55:00-03:00,2023-04-18 06:00:00-03:00,short,4949.5,4927.5,22.0,216.0,target_gap_open
2023-04-26,2023-04-26 14:05:00-03:00,2023-04-26 14:35:00-03:00,short,5060.0,5056.0,4.0,36.0,vwap_revert
2023-04-26,2023-04-26 14:55:00-03:00,2023-04-27 06:00:00-03:00,long,5045.0,5040.0,-5.0,-54.0,stop_gap_open
2023-04-28,2023-04-28 14:05:00-03:00,2023-04-28 14:45:00-03:00,long,5018.5,5022.5,4.0,36.0,max_hold
