session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-11-28,2022-11-28 15:05:00-03:00,2022-11-29 06:00:00-03:00,long,5371.5,5330.0,-41.5,-419.0,stop_gap_open
2022-12-08,2022-12-08 15:15:00-03:00,2022-12-08 15:20:00-03:00,short,5244.0,5264.5,-20.5,-209.0,stop_gap_open
2022-12-08,2022-12-08 15:25:00-03:00,2022-12-09 06:25:00-03:00,short,5263.0,5269.5,-6.5,-69.0,stop_loss
2022-12-13,2022-12-13 15:05:00-03:00,2022-12-14 06:00:00-03:00,short,5323.5,5334.5,-11.0,-114.0,stop_gap_open
2022-12-14,2022-12-14 15:05:00-03:00,2022-12-15 06:00:00-03:00,long,5305.5,5347.5,42.0,416.0,target_gap_open
2022-12-16,2022-12-16 15:05:00-03:00,2022-12-16 15:10:00-03:00,short,5320.0,5324.5,-4.5,-49.0,stop_loss
2022-12-16,2022-12-16 15:15:00-03:00,2022-12-16 15:25:00-03:00,short,5329.5,5334.5,-5.0,-54.0,stop_loss
2022-12-16,2022-12-19 06:00:00-03:00,2022-12-19 06:40:00-03:00,short,5350.0,5325.0,25.0,246.0,max_hold
2022-12-19,2022-12-19 15:05:00-03:00,2022-12-19 15:10:00-03:00,long,5310.0,5305.0,-5.0,-54.0,stop_loss
2022-12-19,2022-12-19 15:15:00-03:00,2022-12-20 06:25:00-03:00,long,5305.5,5321.5,16.0,156.0,max_hold
2022-12-28,2022-12-28 15:25:00-03:00,2022-12-29 06:00:00-03:00,short,5273.0,5280.0,-7.0,-74.0,stop_gap_open
2023-01-23,2023-01-23 15:05:00-03:00,2023-01-23 15:15:00-03:00,short,5208.0,5212.5,-4.5,-49.0,stop_loss
2023-01-23,2023-01-23 15:20:00-03:00,2023-01-23 15:25:00-03:00,short,5212.0,5216.0,-4.0,-44.0,stop_loss
2023-01-23,2023-01-24 06:10:00-03:00,2023-01-24 06:30:00-03:00,short,5221.0,5203.5,17.5,171.0,vwap_revert
2023-02-02,2023-02-02 15:05:00-03:00,2023-02-02 15:10:00-03:00,short,5065.0,5070.5,-5.5,-59.0,stop_loss
2023-02-02,2023-02-02 15:15:00-03:00,2023-02-03 06:00:00-03:00,short,5075.0,5119.5,-44.5,-449.0,stop_gap_open
2023-02-08,2023-02-08 15:05:00-03:00,2023-02-08 15:15:00-03:00,long,5215.0,5219.0,4.0,36.0,vwap_revert
2023-02-16,2023-02-16 15:05:00-03:00,2023-02-17 06:00:00-03:00,long,5223.0,5243.5,20.5,201.0,target_gap_open
2023-03-03,2023-03-03 15:05:00-03:00,2023-03-03 15:20:00-03:00,long,5228.5,5225.5,-3.0,-34.0,stop_loss
2023-03-09,2023-03-09 15:05:00-03:00,2023-03-09 15:10:00-03:00,short,5186.5,5192.5,-6.0,-64.0,stop_loss
2023-03-09,2023-03-09 15:15:00-03:00,2023-03-10 06:10:00-03:00,short,5191.5,5197.0,-5.5,-59.0,stop_loss
2023-11-16,2023-11-16 15:05:00-03:00,2023-11-17 06:00:00-03:00,short,4875.0,4862.0,13.0,126.0,target_gap_open
2023-11-24,2023-11-24 15:05:00-03:00,2023-11-27 06:00:00-03:00,short,4904.0,4897.5,6.5,61.0,vwap_revert
2023-11-27,2023-11-27 15:05:00-03:00,2023-11-27 15:15:00-03:00,short,4899.5,4898.5,1.0,6.0,vwap_revert
2023-12-07,2023-12-07 15:05:00-03:00,2023-12-07 15:10:00-03:00,short,4919.0,4921.5,-2.5,-29.0,stop_gap_open
2023-12-07,2023-12-07 15:15:00-03:00,2023-12-07 15:20:00-03:00,short,4920.5,4923.0,-2.5,-29.0,stop_loss
2023-12-07,2023-12-07 15:25:00-03:00,2023-12-08 06:00:00-03:00,short,4922.5,4906.0,16.5,161.0,target_gap_open
2023-12-11,2023-12-11 15:20:00-03:00,2023-12-12 06:00:00-03:00,long,4943.0,4933.5,-9.5,-99.0,stop_gap_open
2023-12-21,2023-12-21 15:20:00-03:00,2023-12-21 15:25:00-03:00,long,4878.5,4882.5,4.0,36.0,vwap_revert
2023-12-27,2023-12-27 15:05:00-03:00,2023-12-27 15:25:00-03:00,short,4825.5,4822.5,3.0,26.0,vwap_revert
2024-01-15,2024-01-15 15:05:00-03:00,2024-01-15 15:25:00-03:00,long,4874.5,4872.5,-2.0,-24.0,stop_loss
2024-01-18,2024-01-18 15:05:00-03:00,2024-01-18 15:20:00-03:00,long,4938.0,4935.5,-2.5,-29.0,stop_loss
2024-01-18,2024-01-18 15:25:00-03:00,2024-01-19 06:00:00-03:00,long,4935.5,4923.5,-12.0,-124.0,stop_gap_open
2024-01-19,2024-01-19 15:05:00-03:00,2024-01-19 15:10:00-03:00,short,4937.0,4940.0,-3.0,-34.0,stop_loss
2024-01-19,2024-01-19 15:15:00-03:00,2024-01-22 06:00:00-03:00,short,4945.5,4929.5,16.0,156.0,vwap_revert
2024-01-30,2024-01-30 15:05:00-03:00,2024-01-31 06:00:00-03:00,long,4951.5,4961.0,9.5,91.0,target_gap_open
2024-01-31,2024-01-31 15:05:00-03:00,2024-02-01 06:00:00-03:00,short,4967.5,4974.5,-7.0,-74.0,ambiguous_stop_first
2024-02-07,2024-02-07 15:05:00-03:00,2024-02-07 15:25:00-03:00,short,4979.0,4981.0,-2.0,-24.0,stop_loss
2024-02-07,2024-02-08 06:00:00-03:00,2024-02-08 06:05:00-03:00,short,4985.0,4991.5,-6.5,-69.0,stop_gap_open
2024-02-14,2024-02-14 15:05:00-03:00,2024-02-14 15:20:00-03:00,short,4980.5,4978.0,2.5,21.0,vwap_revert
2024-02-15,2024-02-15 15:05:00-03:00,2024-02-16 06:00:00-03:00,short,4981.0,4975.5,5.5,51.0,vwap_revert
2024-02-21,2024-02-21 15:05:00-03:00,2024-02-22 06:00:00-03:00,short,4941.0,4930.0,11.0,106.0,target_gap_open
2024-02-26,2024-02-26 15:05:00-03:00,2024-02-26 15:25:00-03:00,long,4981.5,4984.5,3.0,26.0,vwap_revert
2024-03-06,2024-03-06 15:05:00-03:00,2024-03-06 15:10:00-03:00,short,4955.0,4956.5,-1.5,-19.0,stop_loss
2024-03-06,2024-03-06 15:15:00-03:00,2024-03-06 15:25:00-03:00,short,4956.0,4958.0,-2.0,-24.0,stop_loss
2024-03-11,2024-03-11 15:05:00-03:00,2024-03-11 15:10:00-03:00,long,4984.5,4982.5,-2.0,-24.0,stop_loss
2024-03-11,2024-03-11 15:15:00-03:00,2024-03-11 15:20:00-03:00,long,4984.0,4982.0,-2.0,-24.0,stop_loss
2024-05-15,2024-05-15 15:05:00-03:00,2024-05-15 15:10:00-03:00,long,5144.0,5142.0,-2.0,-24.0,stop_loss
2024-05-15,2024-05-15 15:15:00-03:00,2024-05-15 15:20:00-03:00,long,5142.0,5140.0,-2.0,-24.0,stop_loss
2024-05-15,2024-05-15 15:25:00-03:00,2024-05-16 06:00:00-03:00,long,5142.5,5140.5,-2.0,-24.0,stop_loss
2024-05-16,2024-05-16 15:05:00-03:00,2024-05-16 15:10:00-03:00,short,5136.0,5138.0,-2.0,-24.0,stop_loss
2024-05-16,2024-05-16 15:15:00-03:00,2024-05-16 15:20:00-03:00,short,5138.5,5140.5,-2.0,-24.0,stop_loss
2024-05-16,2024-05-16 15:25:00-03:00,2024-05-17 06:00:00-03:00,short,5137.0,5142.0,-5.0,-54.0,stop_gap_open
2024-05-28,2024-05-28 15:05:00-03:00,2024-05-28 15:10:00-03:00,short,5162.0,5167.5,-5.5,-59.0,stop_gap_open
2024-05-28,2024-05-28 15:15:00-03:00,2024-05-29 06:00:00-03:00,short,5166.0,5176.5,-10.5,-109.0,stop_gap_open
2024-08-16,2024-08-16 15:05:00-03:00,2024-08-19 06:00:00-03:00,short,5483.0,5473.5,9.5,91.0,vwap_revert
2024-08-30,2024-08-30 15:05:00-03:00,2024-09-02 06:00:00-03:00,long,5629.5,5659.0,29.5,291.0,vwap_revert
2024-09-06,2024-09-06 15:05:00-03:00,2024-09-06 15:10:00-03:00,short,5611.0,5614.5,-3.5,-39.0,stop_loss
