session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2022-11-28,2022-11-28 14:55:00-03:00,2022-11-29 06:00:00-03:00,long,5368.5,5330.0,-38.5,-389.0,stop_gap_open
2022-12-08,2022-12-08 15:25:00-03:00,2022-12-09 06:25:00-03:00,short,5263.0,5269.5,-6.5,-69.0,stop_loss
2022-12-13,2022-12-13 14:05:00-03:00,2022-12-13 15:05:00-03:00,short,5336.0,5325.0,11.0,106.0,max_hold
2022-12-13,2022-12-13 15:10:00-03:00,2022-12-14 06:00:00-03:00,short,5325.5,5334.5,-9.0,-94.0,stop_gap_open
2022-12-14,2022-12-14 14:05:00-03:00,2022-12-14 14:10:00-03:00,long,5320.0,5306.5,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:15:00-03:00,2022-12-14 14:40:00-03:00,long,5308.5,5295.0,-13.5,-139.0,stop_loss
2022-12-14,2022-12-14 14:45:00-03:00,2022-12-15 06:00:00-03:00,long,5298.0,5347.5,49.5,491.0,target_gap_open
2022-12-15,2022-12-15 14:35:00-03:00,2022-12-15 15:00:00-03:00,long,5324.0,5332.5,8.5,81.0,vwap_revert
2022-12-16,2022-12-16 15:05:00-03:00,2022-12-16 15:10:00-03:00,short,5320.0,5324.5,-4.5,-49.0,stop_loss
2022-12-16,2022-12-16 15:15:00-03:00,2022-12-16 15:25:00-03:00,short,5329.5,5334.5,-5.0,-54.0,stop_loss
2022-12-16,2022-12-19 06:00:00-03:00,2022-12-19 07:00:00-03:00,short,5350.0,5324.5,25.5,251.0,max_hold
2022-12-19,2022-12-19 14:20:00-03:00,2022-12-19 14:30:00-03:00,long,5314.0,5308.5,-5.5,-59.0,stop_loss
2022-12-19,2022-12-19 14:35:00-03:00,2022-12-20 06:05:00-03:00,long,5305.0,5323.0,18.0,176.0,max_hold
2023-01-23,2023-01-23 15:25:00-03:00,2023-01-24 06:10:00-03:00,short,5215.5,5221.0,-5.5,-59.0,stop_gap_open
2023-02-02,2023-02-02 14:35:00-03:00,2023-02-02 15:10:00-03:00,short,5069.0,5075.0,-6.0,-64.0,stop_loss
2023-02-02,2023-02-02 15:20:00-03:00,2023-02-02 15:25:00-03:00,short,5073.5,5079.0,-5.5,-59.0,stop_loss
2023-02-02,2023-02-03 06:00:00-03:00,2023-02-03 06:05:00-03:00,short,5119.5,5125.0,-5.5,-59.0,stop_loss
2023-02-16,2023-02-16 14:05:00-03:00,2023-02-16 15:05:00-03:00,long,5225.5,5226.5,1.0,6.0,max_hold
2023-02-16,2023-02-16 15:10:00-03:00,2023-02-16 15:15:00-03:00,long,5226.5,5220.0,-6.5,-69.0,stop_loss
2023-02-16,2023-02-16 15:20:00-03:00,2023-02-17 06:00:00-03:00,long,5222.5,5243.5,21.0,206.0,target_gap_open
2023-03-03,2023-03-03 14:05:00-03:00,2023-03-03 14:40:00-03:00,long,5231.0,5236.5,5.5,51.0,vwap_revert
2023-03-03,2023-03-03 14:55:00-03:00,2023-03-03 15:05:00-03:00,long,5230.5,5227.0,-3.5,-39.0,stop_loss
2023-03-03,2023-03-03 15:10:00-03:00,2023-03-03 15:20:00-03:00,long,5228.0,5225.0,-3.0,-34.0,stop_loss
2023-03-09,2023-03-09 14:35:00-03:00,2023-03-09 14:50:00-03:00,short,5185.5,5191.5,-6.0,-64.0,stop_loss
2023-03-09,2023-03-09 14:55:00-03:00,2023-03-10 06:10:00-03:00,short,5190.5,5196.5,-6.0,-64.0,stop_loss
2023-03-17,2023-03-17 14:05:00-03:00,2023-03-17 14:35:00-03:00,short,5286.5,5290.0,-3.5,-39.0,stop_loss
2023-03-17,2023-03-17 14:45:00-03:00,2023-03-17 14:50:00-03:00,short,5286.5,5290.5,-4.0,-44.0,stop_loss
2023-03-17,2023-03-17 14:55:00-03:00,2023-03-20 06:10:00-03:00,short,5291.5,5280.5,11.0,106.0,vwap_revert
2023-04-03,2023-04-03 14:05:00-03:00,2023-04-03 14:55:00-03:00,short,5091.5,5085.0,6.5,61.0,vwap_revert
2023-04-06,2023-04-06 14:05:00-03:00,2023-04-06 14:10:00-03:00,long,5075.5,5073.0,-2.5,-29.0,stop_loss
2023-04-06,2023-04-06 14:15:00-03:00,2023-04-10 06:00:00-03:00,long,5073.0,5070.5,-2.5,-29.0,stop_loss
